id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
31,APOSITOS PARA CAYOS HANSAPLAST  X 6,"{'CAJA': [1, 7.0]}",Apósitos,Para el tratamiento de callos y durezas en los pies.,No especificado,Seguir las instrucciones del empaque,Protege y alivia la presión sobre los callos y durezas.,31,1.0,4.08,7.0,0.4171428571428571,4.08,7.0
32,AQUAMAR FCO 50 ML SPRAY NASAL,"{'FRASCO': [1, 110.0]}",Spray nasal,Descongestionante nasal para aliviar la congestión y secreción nasal.,Agua de mar,Seguir las instrucciones del empaque,Ayuda a limpiar y descongestionar las fosas nasales.,32,1.0,66.6,110.0,0.3945454545454546,66.6,110.0
33,ARCO PULMIN INY ADULTO PIERSAN,"{'BOTE': [1, 19.0]}",Inyección,Tratamiento de enfermedades respiratorias como la bronquitis.,No especificado,Seguir las indicaciones del médico,Ayuda a mejorar la función pulmonar y aliviar la tos y la dificultad para respirar.,33,2.0,9.32,19.0,0.5094736842105263,18.64,38.0
34,ASPIRADOR NASAL GERBER,"{'KIT': [1, 30.0]}",Aspirador nasal,Para limpiar la mucosidad nasal de los bebés.,No aplica,Seguir las instrucciones del fabricante,Ayuda a despejar las vías respiratorias de los bebés.,34,1.0,18.6,30.0,0.3799999999999999,18.6,30.0
35,ASPIRINA ADULTO BLIST X 10 CAJA X 100,"{'BLISTER': [10, 1.0], 'CAJA': [100, 10.0]}",Tabletas,Analgésico y antipirético para adultos.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre.,35,72.0,0.67,1.0,0.3299999999999999,48.24,72.0
36,ASPIRINA FORTE CAJA X 100 BLIST X 10,"{'CAJA': [100, 0.0], 'BLISTER': [10, 0.0]}",Tabletas,Analgésico y antipirético de mayor concentración.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre de forma más potente.,36,0.0,0.0,0.0,,0.0,0.0
37,ASPIRINA NIÑOS BLIST X 10 CAJA X 100,"{'BLISTER': [10, 1.0], 'CAJA': [100, 10.0]}",Tabletas,Analgésico y antipirético para niños.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre en niños.,37,130.0,0.62,1.0,0.38,80.6,130.0
38,BALLENA AZUL 200 ML,"{'BOTE': [1, 51.0]}",Jarabe,Suplemento vitamínico para niños.,Vitaminas y minerales,Seguir las indicaciones del fabricante,Ayuda a complementar la dieta de los niños con vitaminas y minerales esenciales.,38,3.0,33.9,51.0,0.3352941176470588,101.7,153.0
39,BALSAMICO GMS 12 GRS,"{'CREMA': [1, 10.0]}",Crema,Para aliviar la congestión nasal y el malestar en el pecho.,Mentol y eucalipto,Aplicar en la zona afectada según sea necesario,Proporciona alivio temporal de la congestión y el malestar respiratorio.,39,3.0,5.78,10.0,0.422,17.34,30.0
40,BAYKID DOLOR Y FIEBRE CAJA X 36 BLIST X 12 TAB,"{'CAJA': [36, 63.0], 'BLISTER': [12, 21.0], 'TABLETA': [1, 1.75]}",Tabletas,Analgésico y antipirético para niños.,Paracetamol,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre en niños de forma segura.,40,36.0,0.98,1.75,0.44,35.28,63.0
41,BEBETINA  BLIST X 10 CAJA X 100 TAB,"{'BLISTER': [10, 9.0], 'CAJA': [100, 90.0], 'TABLETA': [1, 0.9]}",Tabletas,Analgésico y antipirético,Paracetamol,1 tableta cada 6 horas,Alivio del dolor y reducción de la fiebre,41,92.0,0.58,0.9,0.3555555555555556,53.36,82.8
42,BEPHANTHENE CREMA 5% 30G QUEMADURAS,"{'CREMA': [1, 81.0]}",Crema,Tratamiento de quemaduras leves,Dexpantenol,Aplicar una capa fina sobre la zona afectada 2-3 veces al día,Promueve la regeneración de la piel,42,1.0,50.48,81.0,0.3767901234567901,50.48,81.0
43,BEPHANTHENE POMADA 5% 30G PROTECTORA,"{'CREMA': [1, 78.0]}",Pomada,Protección de la piel irritada,Dexpantenol,Aplicar una capa fina sobre la piel irritada 2-3 veces al día,Hidrata y protege la piel,43,2.0,47.57,78.0,0.3901282051282051,95.14,156.0
44,BICARBONATO  X 25 SOBRES DE 10 GRS VESA,"{'SOBRE': [1, 0.5]}",Sobres,Antiácido,Bicarbonato de sodio,Disolver un sobre en agua y tomar después de las comidas,Neutraliza el ácido estomacal,44,30.0,0.23,0.5,0.54,6.9,15.0
45,BICARBONATO X 1 LIBRA DISFAVIL,"{'SOBRE': [1, 16.0]}",Polvo,Antiácido,Bicarbonato de sodio,Seguir indicaciones del médico,Neutraliza el ácido estomacal,45,4.0,8.4,16.0,0.475,33.6,64.0
46,BICARBONATO X 16 SOBRES DE 28 GRS DISFAVIL,"{'SOBRE': [1, 1.0]}",Sobres,Antiácido,Bicarbonato de sodio,Disolver un sobre en agua y tomar después de las comidas,Neutraliza el ácido estomacal,46,29.0,0.59,1.0,0.41,17.11,29.0
47,BOLSA DE ALGODÓN 160 BOLITAS SUPERIOR,"{'BOLSA': [1, 16.0]}",Bolitas de algodón,Para limpieza y curación de heridas,Algodón,Seguir indicaciones del médico,Absorbe líquidos y protege la herida,47,1.0,9.75,16.0,0.390625,9.75,16.0
48,CALCIO VITAMINADO AMPOLLA,"{'AMPOLLA': [1, 20.0]}",Ampolla,Suplemento de calcio y vitaminas,Calcio,Seguir indicaciones del médico,Fortalece los huesos y dientes,48,2.0,9.17,20.0,0.5415,18.34,40.0
49,CALLOFIN POMADA 12 GRS,"{'CREMA': [1, 7.0]}",Pomada,Tratamiento de callos y durezas,Ácido salicílico,Aplicar sobre el callo o dureza 1-2 veces al día,Suaviza la piel y ayuda a eliminar callosidades,49,1.0,3.92,7.0,0.44,3.92,7.0
50,CALMANTE SOBRE BOLSA X 100,"{'BOLSA': [100, 25.0], 'SOBRE': [1, 0.25]}",Sobres,Analgésico y antipirético,Paracetamol,Seguir indicaciones del médico,Alivio del dolor y reducción de la fiebre,50,40.0,0.16,0.25,0.36,6.4,10.0
51,CANESTEN 100 MG X 18 OVULOS VAG,"{'TABLETA': [1, 20.0]}",Óvulos vaginales,Tratamiento de infecciones vaginales por hongos,Clotrimazol,100 mg,Antifúngico,51,7.0,12.25,20.0,0.3875,85.75,140.0
52,CANESTEN ORAL 150 MG X 1 CAP,"{'CAJA': [1, 114.0]}",Cápsula oral,Tratamiento de infecciones por hongos en la boca y garganta,Clotrimazol,150 mg,Antifúngico,52,0.0,75.75,114.0,0.3355263157894737,0.0,0.0
53,CANESTEN TRIPLE ACCION 15 GRS,"{'CREMA': [1, 77.0]}",Crema,Tratamiento de infecciones cutáneas por hongos,Clotrimazol,15 g,Antifúngico,53,1.0,51.17,77.0,0.3354545454545454,51.17,77.0
54,CARDIOASPIRINA CAJA X 48 TAB,"{'CAJA': [48, 144.0], 'TABLETA': [1, 3.0]}",Tabletas,Prevención de enfermedades cardiovasculares,Ácido acetilsalicílico,Varía según la presentación,"Antiinflamatorio, analgésico, antiplaquetario",54,64.0,1.92,3.0,0.36,122.88,192.0
55,CEREBREX GINKO AMP BEBIBLES X 10,"{'AMPOLLA': [1, 8.5]}",Ampollas bebibles,Mejora la circulación cerebral y la memoria,Ginkgo Biloba,Varía según la presentación,"Vasodilatador cerebral, antioxidante",55,20.0,5.07,8.5,0.4035294117647058,101.4,170.0
56,CIRBRAL 25 MG BLIST X 20 CAJA X 60,"{'BLISTER': [20, 0.9], 'CAJA': [60, 2.7]}",Tabletas,Tratamiento de trastornos cognitivos,Citicolina,25 mg,"Neuroprotector, potenciador cognitivo",56,104.0,0.53,0.9,0.4111111111111111,55.120000000000005,93.6
57,CIRBRAL FORTE 75 MG BLIST X 10 CAJA X 30,"{'BLISTER': [10, 2.8], 'CAJA': [30, 8.4]}",Tabletas,Tratamiento de trastornos cognitivos,Citicolina,75 mg,"Neuroprotector, potenciador cognitivo",57,41.0,1.79,2.8,0.3607142857142856,73.39,114.8
58,CITRATO DE MAGNESIA BOLSA X 16 SOBRES,"{'BOLSA': [16, 40.0], 'SOBRE': [1, 2.5]}",Polvo para solución oral,Laxante osmótico,Citrato de magnesio,Varía según la presentación,Laxante,58,14.0,1.03,2.5,0.588,14.42,35.0
59,CLO-PRIM 0.1MG/GOTAS 15 ML,"{'FRASCO': [1, 55.0]}",Gotas orales,Tratamiento de trastornos de ansiedad,Clonazepam,0.1 mg por gota,"Ansiolítico, anticonvulsivante",59,2.0,36.07,55.0,0.3441818181818182,72.14,110.0
60,CLO-PRIM 10MG BLIST X 10 CAJA X 40 TABS,"{'BLISTER': [10, 30.0], 'CAJA': [40, 120.0], 'TABLETA': [1, 3.0]}",Tabletas,Tratamiento de trastornos de ansiedad y convulsiones,Clonazepam,10 mg,"Ansiolítico, anticonvulsivante",60,30.0,1.78,3.0,0.4066666666666667,53.4,90.0
61,CLOPRIM 5MG/5ML JARABE 120 ML,"{'JARABE': [1, 77.0]}",Jarabe,Antipirético y analgésico,Paracetamol,5mg/5ml,Reduce la fiebre y alivia el dolor,61,1.0,50.1,77.0,0.3493506493506493,50.1,77.0
62,CLOPRIM CAJA X 3 AMPOLLAS,"{'CAJA': [3, 57.0], 'AMPOLLA': [1, 19.0]}",Ampollas,Analgésico y antipirético,Paracetamol,Varía según la presentación,Alivia el dolor y reduce la fiebre,62,3.0,11.37,19.0,0.4015789473684211,34.11,57.0
63,CODERPINA JBE 60 ML,"{'JARABE': [1, 41.0]}",Jarabe,Antitusivo y analgésico,Codeína,Varía según la presentación,Suprime la tos y alivia el dolor,63,1.0,26.03,41.0,0.3651219512195122,26.03,41.0
64,CUAJO CAJA X 100 BLISTER X 10,"{'CAJA': [100, 18.0], 'BLISTER': [10, 1.8]}",Tabletas,Suplemento alimenticio,Varía según la presentación,Varía según la presentación,Ayuda en la coagulación de la leche,64,74.0,1.03,1.8,0.4277777777777777,76.22,133.20000000000002
65,CURADERMA LATITA,"{'FRASCO': [1, 18.0]}",Pomada,Cicatrizante y antiséptico,Varía según la presentación,Uso tópico,Ayuda en la cicatrización y previene infecciones,65,2.0,11.96,18.0,0.3355555555555555,23.92,36.0
66,CURITA REDONDA  CUREBAND CAJA X 100,"{'SACHET': [1, 0.25]}",Curita adhesiva,Protección de heridas leves,Varía según la presentación,Uso externo,Protege la herida y facilita la cicatrización,66,34.0,0.11,0.25,0.56,3.74,8.5
67,CURITAS CUREBAND CAJA X 100 + 10,"{'SACHET': [1, 0.25]}",Curitas adhesivas,Protección de heridas leves,Varía según la presentación,Uso externo,Protege la herida y facilita la cicatrización,67,127.0,0.1,0.25,0.6,12.7,31.75
68,DAPAZ (AMITRIP + CLORDIA)  CAJA X 30 BLIST X 10,"{'CAJA': [30, 81.0], 'BLISTER': [10, 27.0], 'TABLETA': [1, 2.7]}",Tabletas,Antidepresivo y ansiolítico,Amitriptilina + Clordiazepóxido,Varía según la presentación,Tratamiento de la depresión y la ansiedad,68,33.0,1.66,2.7,0.3851851851851852,54.78,89.10000000000001
69,DEXAMICINA GOTASX 5 ML QUALIPHARM,"{'FRASCO': [1, 69.0]}",Gotas,Antiinflamatorio y antialérgico,Dexametasona,Varía según la presentación,Reduce la inflamación y alivia las alergias,69,1.0,45.5,69.0,0.3405797101449275,45.5,69.0
70,DEXTROVITA AL 10% 1/2 LITRO,"{'FRASCO': [1, 40.0]}",Solución oral,Suplemento vitamínico,Dextrosa,10%,Aporta energía y nutrientes,70,1.0,26.09,40.0,0.34775,26.09,40.0
71,DEXTROVITA AL 5% 1 LITRO,"{'FRASCO': [1, 61.0]}",Solución inyectable,Suplemento nutricional,Dextrosa,5%,Aporte de energía,71,1.0,37.86,61.0,0.379344262295082,37.86,61.0
72,DEXTROVITA AL 5% 1/2 LITRO,"{'FRASCO': [1, 42.0]}",Solución inyectable,Suplemento nutricional,Dextrosa,5%,Aporte de energía,72,1.0,27.28,42.0,0.3504761904761904,27.28,42.0
73,DIYODO 650  BLIST X 10TAB,"{'BLISTER': [10, 10.0], 'TABLETA': [1, 1.0]}",Tableta,Suplemento de yodo,Yoduro de potasio,650 mcg,Regulación de la función tiroidea,73,33.0,0.61,1.0,0.39,20.13,33.0
74,DOLOFIN DISP X 60,"{'DISPENSADOR': [1, 0.0], 'TABLETA': [1, 0.0]}",Tableta dispersable,Analgésico y antipirético,Paracetamol,500 mg,Alivio del dolor y la fiebre,74,0.0,0.0,0.0,,0.0,0.0
75,DOLOVITANERVO KIT AMPOLLA,"{'KIT': [1, 19.0]}",Solución inyectable,Suplemento vitamínico,Vitaminas del complejo B,Varias vitaminas,Mejora del estado nutricional y del sistema nervioso,75,4.0,9.55,19.0,0.4973684210526315,38.2,76.0
76,DORIVAL GEL 200MG CAJA X 36 GELCAPS,"{'CAJA': [36, 144.0], 'GELATINA BLANDA': [1, 4.0]}",Cápsula gelatinosa,Antiinflamatorio,Ibuprofeno,200 mg,Alivio del dolor y la inflamación,76,26.0,2.55,4.0,0.3625,66.3,104.0
77,ENTEROGUANIL ADULTO DIS X 200 BLIST X 4 TABS,"{'DISPENSADOR': [200, 200.0], 'BLISTER': [4, 4.0], 'TABLETA': [1, 1.0]}",Tableta,Antiparasitario,Proguanil,200 mg,Prevención y tratamiento de la malaria,77,200.0,0.31,1.0,0.69,62.0,200.0
78,ENTEROGUANIL NIÑO DIS X 200 BLIST X 4 TABS,"{'DISPENSADOR': [200, 100.0], 'BLISTER': [4, 2.0], 'TABLETA': [1, 0.5]}",Tableta,Antiparasitario pediátrico,Proguanil,50 mg,Prevención y tratamiento de la malaria en niños,78,0.0,0.21,0.5,0.5800000000000001,0.0,0.0
79,ESCABIN JABON DE AZUFRE 80 GRS SANTE,"{'CAJA': [1, 9.0]}",Jabón,Tratamiento para la sarna,Azufre,80 g,Eliminación de ácaros y alivio de la picazón,79,2.0,5.15,9.0,0.4277777777777777,10.3,18.0
80,ESENCIA MARAVILLOSA SIERRA FCO,"{'FRASCO': [1, 18.0]}",Frasco,Producto cosmético,No aplica,No aplica,Aromaterapia y cuidado de la piel,80,3.0,11.0,18.0,0.3888888888888889,33.0,54.0
81,FERRIDOCE CAJA X 30TAB BLIST X 10,"{'CAJA': [30, 42.0], 'BLISTER': [10, 14.0]}",Tabletas,Suplemento de hierro,Hierro,1 tableta al día,Suplemento de hierro,81,6.0,9.3,14.0,0.3357142857142857,55.8,84.0
82,GASA ENFERMERITA  1/2 X 1 YD.,"{'SACHET': [1, 7.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,82,5.0,3.48,7.0,0.5028571428571429,17.4,35.0
83,GASA ENFERMERITA 3 X 1,"{'SACHET': [1, 29.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,83,3.0,17.5,29.0,0.396551724137931,52.5,87.0
84,GASA SUPERIOR  3 X 10 YD,"{'SACHET': [1, 12.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,84,2.0,7.0,12.0,0.4166666666666667,14.0,24.0
85,GASA SUPERIOR  4 X 10,"{'SACHET': [1, 13.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,85,2.0,8.0,13.0,0.3846153846153846,16.0,26.0
86,GASA SUPERIOR 2 X 10 YD,"{'SACHET': [1, 9.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,86,0.0,4.9,9.0,0.4555555555555555,0.0,0.0
87,GASA SUPERIOR 6 X 10 YDS,"{'SACHET': [1, 22.0]}",Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas,87,2.0,13.25,22.0,0.3977272727272727,26.5,44.0
88,GINGIVEX PINCELADAS FCO. 27 ML,"{'FRASCO': [1, 20.0]}",Solución tópica,Enjuague bucal para encías inflamadas,No aplica,Según indicaciones del médico,Antiinflamatorio para encías,88,3.0,12.35,20.0,0.3825,37.05,60.0
89,GLORANTA TE FRUTOS ROJOS CAJA X 25 SOBRES,"{'CAJA': [25, 250.0], 'SOBRE': [1, 10.0]}",Infusión en sobres,Infusión de frutos rojos,No aplica,"1 sobre en agua caliente, según preferencia",Infusión de frutos rojos,89,5.0,6.32,10.0,0.368,31.6,50.0
90,GLORANTA TE LIMON/JENGIBRE CAJA X 25 SOBRES,"{'CAJA': [25, 250.0], 'SOBRE': [1, 10.0]}",Infusión en sobres,Infusión de limón y jengibre,No aplica,"1 sobre en agua caliente, según preferencia",Infusión de limón y jengibre,90,2.0,6.32,10.0,0.368,12.64,20.0
91,HARTMANN (1000) 1 LITRO,"{'BOTE': [1, 25.0]}",Solución,Solución para irrigación y lavado de heridas,No aplica,Según indicación médica,Irrigante y lavado de heridas,91,0.0,15.17,25.0,0.3932,0.0,0.0
93,JERINGA 5 CC 23 X 1 1/2,"{'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Administración de medicamentos,93,75.0,0.37,1.0,0.63,27.75,75.0
94,JERINGA 5 CC 23 X 1 1/4,"{'JERINGA PRELLENADA': [1, 1.0]}",Jeringa,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Administración de medicamentos,94,3.0,0.35,1.0,0.65,1.0499999999999998,3.0
95,KOLIT BLISTER X 5 TAB,"{'BLISTER': [5, 17.5], 'TABLETA': [1, 3.5]}",Tableta,Para aliviar los síntomas de la colitis,No aplica,Según indicación médica,Alivio de síntomas de colitis,95,8.0,2.05,3.5,0.4142857142857143,16.4,28.0
96,KURA KURA LATA 13 GRS,"{'FRASCO': [1, 18.0]}",Crema,Crema para el cuidado de la piel,No aplica,Aplicar según necesidad,Cuidado de la piel,96,2.0,10.94,18.0,0.3922222222222222,21.88,36.0
97,LASSAR CREMA LAFCO 120 GRS,"{'CREMA': [1, 25.0]}",Crema,Crema para el tratamiento de dermatitis del pañal,Óxido de zinc,Aplicar en la zona afectada según indicación médica,Tratamiento de dermatitis del pañal,97,2.0,14.75,25.0,0.41,29.5,50.0
98,LEVADURA SANTE FRASCO X100TAB,"{'FRASCO': [1, 16.0]}",Tableta,Suplemento nutricional de levadura de cerveza,Levadura de cerveza,Tomar según indicación médica,Suplemento nutricional,98,1.0,10.11,16.0,0.368125,10.11,16.0
99,LICOPODIO BOLSA X 32 SOBRES DISFAVIL,"{'BOLSA': [32, 160.0], 'SOBRE': [1, 5.0]}",Sobre,Suplemento dietético de licopodio,Licopodio,Tomar según indicación médica,Suplemento dietético,99,1.0,2.77,5.0,0.446,2.77,5.0
100,MAGNESIA DE SALUD THERFAM DISPEN X 72 SOB,"{'DISPENSADOR': [72, 144.0], 'SOBRE': [1, 2.0]}",Sobre,Suplemento dietético de magnesio,Magnesio,Tomar según indicación médica,Suplemento dietético,100,68.0,1.11,2.0,0.4449999999999999,75.48,136.0
101,MANA SOBRE (LAXANTE) 1 ONZ,"{'SOBRE': [1, 10.0]}",Sobre,Laxante,No especificado,1 onza,Estimula el movimiento intestinal,101,9.0,5.48,10.0,0.4519999999999999,49.32000000000001,90.0
102,MANTECA DE CACAO,"{'SOBRE': [1, 2.5]}",Crema,Hidratante para la piel,Manteca de cacao,No especificado,Emoliente y protector de la piel,102,88.0,1.54,2.5,0.384,135.52,220.0
103,MENTOL DAVIS GRANDE 12 GRS,"{'CREMA': [1, 10.0]}",Crema,Alivio de dolores musculares y de cabeza,Mentol,12 gramos,Analgésico y refrescante,103,2.0,6.0,10.0,0.4,12.0,20.0
104,MEPROGESICO II  BLISTER X 10,"{'BLISTER': [10, 60.0], 'CAPSULA': [1, 6.0]}",Tableta,Analgésico y antipirético,Meprobamato,1 tableta cada 6 horas,Relajante muscular y calmante del dolor,104,14.0,3.66,6.0,0.3899999999999999,51.24,84.0
105,NAUSEOL 1 ML X 1 AMPOLLA,"{'AMPOLLA': [1, 10.0]}",Ampolla,Antiemético,Metoclopramida,1 ml por vía intramuscular,Controla las náuseas y vómitos,105,6.0,5.46,10.0,0.454,32.76,60.0
