id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
19,CARDIOASPIRINA 81 MG X 30 TAB FCO,"{'TABLETA': [1, 65.0], 'FRASCO': [1, 65.0]}",Tableta,Antiagregante plaquetario,Ácido acetilsalicílico,81 mg,Prevención de eventos cardiovasculares,19,3.0,32.3,65.0,0.5030769230769231,96.9,195.0
20,CEFTRIAXONA 1GR+LIDOC KIT PROMEGAL,"{'KIT': [1, 20.0]}",Kit,Antibiótico y anestésico local,Ceftriaxona y lidocaína,1 g y 20 mg,Tratamiento de infecciones bacterianas,20,10.0,11.3,20.0,0.4349999999999999,113.0,200.0
21,CENTRUM HOMBRE CAJA X 60,"{'CAJA': [1, 80.0]}",Tabletas recubiertas,Suplemento vitamínico y mineral para hombres,Vitaminas y minerales,Tomar 1 tableta al día,Suplemento nutricional,21,1.0,30.3,80.0,0.6212500000000001,30.3,80.0
22,CENTRUM KIDS,"{'CAJA': [1, 80.0]}",Tabletas masticables,Suplemento vitamínico y mineral para niños,Vitaminas y minerales,Según indicación del pediatra,Suplemento nutricional,22,1.0,30.3,80.0,0.6212500000000001,30.3,80.0
23,CENTRUM MUJER  CAJA X 60,"{'CAJA': [1, 80.0]}",Tabletas recubiertas,Suplemento vitamínico y mineral para mujeres,Vitaminas y minerales,Tomar 1 tableta al día,Suplemento nutricional,23,2.0,30.3,80.0,0.6212500000000001,60.6,160.0
24,CENTRUM SILVER CAJA X 60 CAPS,"{'CAJA': [1, 80.0]}",Cápsulas,Suplemento vitamínico y mineral para adultos mayores,Vitaminas y minerales,Tomar 1 cápsula al día,Suplemento nutricional,24,1.0,30.0,80.0,0.625,30.0,80.0
25,CITRATO DE POTASIO Y MAGNESIO CAJA X 60 CAPS,"{'CAJA': [1, 110.0]}",Cápsulas,Suplemento de citrato de potasio y magnesio,"Citrato de potasio, citrato de magnesio",Tomar 1 cápsula al día,Suplemento mineral,25,0.0,65.0,110.0,0.4090909090909091,0.0,0.0
26,COBALEX 10 ML  VIAL VIJOSA (CIANOCOBALAMINA),"{'VIAL': [1, 17.0]}",Solución inyectable,Suplemento de cianocobalamina (vitamina B12),Cianocobalamina,Según indicación médica,Suplemento vitamínico,26,9.0,8.66,17.0,0.4905882352941176,77.94,153.0
27,CODERPINA 10 MG BLIST X 10 TAB FRYSIA CAJA X 20,"{'BLISTER': [10, 2.8], 'CAJA': [20, 5.6]}",Tabletas,Analgésico y antipirético,Codeína fosfato,Tomar 1 tableta cada 4-6 horas según necesidad,"Analgésico, antipirético",27,52.0,1.75,2.8,0.3749999999999999,91.0,145.6
28,COLAGENO FCO X 100 TABS,"{'FRASCO': [1, 40.0]}",Tabletas,Suplemento de colágeno,Colágeno,Tomar 1 tableta al día,Suplemento nutricional,28,1.0,20.3,40.0,0.4925,20.3,40.0
29,COLAGENO+ACIDO HIALURONICO VESA FCO X 100 GELCAPS,"{'FRASCO': [1, 68.0]}",Cápsulas,Suplemento de colágeno y ácido hialurónico,"Colágeno, ácido hialurónico",Tomar 1 cápsula al día,Suplemento nutricional,29,1.0,40.3,68.0,0.4073529411764706,40.3,68.0
30,COLECTOR DE HECES GRANDE,"{'BOTE': [1, 4.0]}",Dispositivo,Para la recolección de muestras de heces,,Según indicación médica,Dispositivo médico,30,8.0,1.95,4.0,0.5125,15.6,32.0
31,COLITRAN BLIST X 10 CAJA X 100,"{'BLISTER': [10, 3.2], 'CAJA': [100, 32.0]}",Tabletas,Tratamiento de la colitis,No especificado,Según indicación médica,Antiinflamatorio,31,197.0,1.95,3.2,0.390625,384.15,630.4000000000001
32,COMPLEBEN INYECTADO CAJA X 7,"{'CAJA': [1, 68.0]}",Inyectable,Complemento vitamínico,Vitaminas del complejo B,Según indicación médica,Suplemento nutricional,32,1.0,20.3,68.0,0.7014705882352942,20.3,68.0
34,CONMEL (DIPIRONA) CAJA X 100 BLISTER X 4,"{'CAJA': [100, 28.25], 'BLISTER': [4, 1.13]}",Tabletas,Analgésico y antipirético,Dipirona,Según indicación médica,Analgésico y antipirético,34,89.0,0.6,1.13,0.4690265486725663,53.4,100.57
35,CRANBERRY X 100 VESA,"{'CAJA': [1, 68.0]}",Cápsulas,Suplemento dietético,Extracto de arándano rojo,Según indicación médica,Antioxidante y protector urinario,35,1.0,35.0,68.0,0.4852941176470588,35.0,68.0
36,CROMATONBIC FERRO CAJA X 10 AMP BEBIBLES,"{'CAJA': [10, 142.0]}",Ampollas bebibles,Suplemento de hierro y vitaminas,Hierro y vitaminas,Según indicación médica,Suplemento nutricional,36,1.0,85.3,142.0,0.3992957746478873,85.3,142.0
37,CURITAS CAJA X 100 CUREFAST,"{'CAJA': [100, 17.0]}",Curitas adhesivas,Cubrir heridas y cortaduras,No aplica,Según necesidad,Protección de heridas,37,1.0,10.0,17.0,0.4117647058823529,10.0,17.0
38,CYTOTTEC CAJA X 28 TAB BLIST X 14 TAB SUBLINGUAL,"{'CAJA': [28, 700.0], 'BLISTER': [14, 350.0]}",Tabletas sublinguales,Inducción del parto y tratamiento de úlceras gástricas,Misoprostol,Según indicación médica,Prostaglandina sintética,38,2.0,200.3,350.0,0.4277142857142856,400.6,700.0
39,DAYAMINERAL FCO 240 ML,"{'FRASCO': [1, 110.0]}",Solución oral,Suplemento mineral,Minerales,Según indicación médica,Suplemento nutricional,39,1.0,15.3,110.0,0.860909090909091,15.3,110.0
40,DEKA C ADULTO CAJA X 3 AMPOLLAS,"{'CAJA': [1, 29.0]}",Ampollas inyectables,Suplemento de vitamina C,Vitamina C,Según indicación médica,Suplemento nutricional,40,6.0,15.3,29.0,0.4724137931034483,91.8,174.0
41,DEKA C INFANTIL  CAJA X3 AMPOLLAS,"{'CAJA': [1, 29.0]}",Ampollas,Suplemento vitamínico,Vitamina C,Según indicación médica,Suplemento vitamínico,41,2.0,15.3,29.0,0.4724137931034483,30.6,58.0
42,DEKA C JBE  ADULTO 240 ML,"{'JARABE': [1, 20.0]}",Jarabe,Suplemento vitamínico,Vitamina C,Según indicación médica,Suplemento vitamínico,42,1.0,8.3,20.0,0.585,8.3,20.0
43,DEKA C JBE NIÑO  240 ML,"{'JARABE': [1, 20.0]}",Jarabe,Suplemento vitamínico para niños,Vitamina C,Según indicación médica,Suplemento vitamínico,43,1.0,10.3,20.0,0.485,10.3,20.0
44,DENGUINITA NIÑOS CAJA X 100 BLIST X 10,"{'CAJA': [100, 10.0], 'BLISTER': [10, 1.0]}",Tabletas,Antipirético y analgésico para niños,Paracetamol,Según peso y edad del niño,Antipirético y analgésico,44,131.0,0.55,1.0,0.4499999999999999,72.05000000000001,131.0
45,DEXKETOPROFENO+NEUROTROPA KIT,"{'KIT': [1, 20.0]}",Kit,Analgésico y antiinflamatorio,Dexketoprofeno + Neurotrofina,Según indicación médica,Analgésico y antiinflamatorio,45,4.0,9.3,20.0,0.5349999999999999,37.2,80.0
46,DIAZEPAN 10 MGS MK BLIS X 10 CAJA X 100,"{'BLIS': [10, 4.4], 'CAJA': [100, 44.0]}",Tabletas,Ansiolítico y sedante,Diazepam,Según indicación médica,Ansiolítico y sedante,46,25.0,1.596,4.4,0.6372727272727273,39.900000000000006,110.0
47,DIBETES FCO X 100 TABS,"{'FRASCO': [1, 40.0]}",Tabletas,Suplemento dietético,Vitaminas y minerales,Según indicación médica,Suplemento dietético,47,1.0,20.3,40.0,0.4925,20.3,40.0
48,DICLO+NEURO SHEKINAH BLIS X 10 GEL CAPS CAJA X 100,"{'BLISTER': [10, 10.0], 'CAJA': [100, 100.0]}",Cápsulas,Analgésico y antiinflamatorio,Diclofenaco + Neurotrofina,Según indicación médica,Analgésico y antiinflamatorio,48,13.0,5.8,10.0,0.42,75.39999999999999,130.0
49,DICO GRIP A.M CAJA X 24 SOBRES,"{'CAJA': [24, 96.0], 'SOBRE': [1, 4.0]}",Sobres,Alivio de síntomas gripales en la mañana,Paracetamol + Pseudoefedrina,Según indicación médica,Alivio de síntomas gripales,49,9.0,2.08,4.0,0.48,18.72,36.0
50,DICO GRIP P.M CAJA X 24 SOBRES,"{'CAJA': [24, 96.0], 'SOBRE': [1, 4.0]}",Sobres,Alivio de síntomas gripales en la noche,Paracetamol + Clorfenamina,Según indicación médica,Alivio de síntomas gripales,50,15.0,2.08,4.0,0.48,31.200000000000003,60.0
51,DIPIRONA+DEXAMETASONA X 3 DOSIS,"{'CAJA': [1, 40.0]}",Solución inyectable,Analgésico y antiinflamatorio,"Dipirona, Dexametasona",Según indicación médica,Alivio del dolor y reducción de la inflamación,51,2.0,20.3,40.0,0.4925,40.6,80.0
52,DOLO NEUROBION  CAJA X 120 BLIST X 5,"{'CAJA': [120, 96.0], 'BLISTER': [5, 4.0]}",Tabletas,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso,52,119.0,2.21,4.0,0.4475,262.99,476.0
53,DOLO NEUROBION FORTE DC,"{'CAJA': [1, 82.0]}",Tabletas,Analgésico y antiinflamatorio,"Diclofenaco, Vitaminas B1, B6, B12",Según indicación médica,Alivio del dolor y reducción de la inflamación,53,2.0,45.3,82.0,0.4475609756097561,90.6,164.0
54,DOLO NEUROBION KIT INYECTADO 2 AMP,"{'KIT': [1, 50.0]}",Solución inyectable,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso,54,1.0,9.3,50.0,0.8140000000000001,9.3,50.0
55,DOLO NEUROBION XR BLIS X 5 TAB CAJA X 60,"{'BLISTER': [5, 8.0], 'CAJA': [60, 96.0]}",Tabletas de liberación prolongada,Suplemento vitamínico,"Vitaminas B1, B6, B12",Según indicación médica,Mejora del funcionamiento del sistema nervioso,55,18.0,2.5,8.0,0.6875,45.0,144.0
56,DOLO TETRAVIT KIT,"{'KIT': [1, 49.0]}",Tabletas,Suplemento vitamínico,"Vitaminas A, D, E, K",Según indicación médica,Mejora del estado nutricional,56,2.0,9.3,49.0,0.8102040816326531,18.6,98.0
57,DOLOVITANERVO PIERSAN  BLIST X 10  CAJA X  150,"{'BLISTER': [10, 1.2], 'CAJA': [150, 18.0]}",Tabletas,Analgésico y neuroprotector,"Vitaminas B1, B6, B12, Ácido fólico",Según indicación médica,Alivio del dolor y protección del sistema nervioso,57,162.0,0.6,1.2,0.5,97.2,194.4
58,DOMINAL CAJA X 100 SOBRES,"{'CAJA': [100, 100.0], 'SOBRE': [1, 1.0]}",Sobres granulados,Antiespasmódico y analgésico,Metamizol sódico,Según indicación médica,Alivio del dolor y reducción de espasmos,58,96.0,0.55,1.0,0.4499999999999999,52.8,96.0
59,DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,"{'CAJA': [60, 10.0], 'BLISTER': [12, 2.0]}",Grageas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Alivio del dolor y reducción de la inflamación,59,41.0,0.66,2.0,0.6699999999999999,27.06,82.0
60,DULSITOS JBE 120 ML,"{'JARABE': [1, 29.0]}",Jarabe,Antitusivo y expectorante,"Dextrometorfano, Guaifenesina",Según indicación médica,Alivio de la tos y facilita la eliminación de mucosidad,60,3.0,16.3,29.0,0.4379310344827586,48.900000000000006,87.0
61,ENANTYUM 25 MG CAJA X 10 TABLETAS,"{'CAJA': [1, 12.0]}",Tabletas,Analgésico y antiinflamatorio,Dexketoprofeno,25 mg,Analgésico y antiinflamatorio no esteroideo,61,15.0,7.0,12.0,0.4166666666666667,105.0,180.0
62,ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,"{'AMPOLLA': [1, 20.0]}",Ampollas para bebida,Restaurador de la flora intestinal,Bacillus clausii,2 billones de esporas,Restaurador de la flora intestinal,62,27.0,10.55,20.0,0.4725,284.85,540.0
63,ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,"{'CAA': [110, 220.0], 'SOBRE': [1, 2.0]}",Sobres,Alivio de cólicos y espasmos intestinales,Hioscina-N-butilbromuro,Varía según la presentación,Antiespasmódico,63,28.0,1.18,2.0,0.41,33.04,56.0
64,EXPECTORANTE COMPUESTO LANCASCO 120 ML,"{'SOBRE': [1, 45.0]}",Jarabe,Ayuda a expulsar las flemas,Varios principios activos,Varía según la presentación,Expectorante,64,1.0,24.3,45.0,0.4599999999999999,24.3,45.0
65,FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS,"{'FRASCO': [1, 55.0]}",Gomitas,Suplemento de fibra dietética,Fibra,3 mg por gomita,Suplemento dietético,65,1.0,25.3,55.0,0.54,25.3,55.0
66,FLAMYDOL AMPOLLA,"{'AMPOLLA': [1, 7.0]}",Ampolla,Analgésico y antiinflamatorio,Meloxicam,Varía según la presentación,Analgésico y antiinflamatorio no esteroideo,66,8.0,3.0,7.0,0.5714285714285714,24.0,56.0
67,FLAMYDOL RETARD CAJA X 48 BLIST X 4,"{'CAJA': [48, 120.0], 'BLISTER': [4, 10.0]}",Comprimidos de liberación prolongada,Analgésico y antiinflamatorio de liberación prolongada,Meloxicam,Varía según la presentación,Analgésico y antiinflamatorio no esteroideo,67,16.0,1.87,10.0,0.813,29.92,160.0
68,FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,"{'JARABE': [1, 35.0]}",Jarabe,Mucolítico y expectorante,Ambroxol,Varía según la presentación,Mucolítico y expectorante,68,4.0,20.3,35.0,0.42,81.2,140.0
69,FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,"{'CAJA': [1, 39.0]}",Jarabe,Mucolítico y antitusivo,Ambroxol y clembuterol,Varía según la presentación,Mucolítico y antitusivo,69,3.0,22.0,39.0,0.4358974358974359,66.0,117.0
70,FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,"{'CAJA': [1, 39.0]}",Jarabe,Mucolítico y antihistamínico,Ambroxol y loratadina,Varía según la presentación,Mucolítico y antihistamínico,70,6.0,25.45,39.0,0.3474358974358975,152.7,234.0
71,GASA POR UNIDAD BOLSA X 100,"{'BOLSA': [100, 0.5]}",Bolsa,Para curaciones y limpieza de heridas,No aplica,Según necesidad,Absorción de líquidos y protección de heridas,71,98.0,0.3,0.5,0.4,29.4,49.0
72,GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,"{'CAJA': [1, 95.0]}",Cápsulas,Para problemas gastrointestinales,No especificado,Según indicación médica,Regulación del sistema digestivo,72,1.0,50.0,95.0,0.4736842105263157,50.0,95.0
73,GINCKO + NEURO CAJA X 60 BLIST X 10,"{'CAJA': [60, 56.04], 'BLISTER': [10, 9.34]}",Tabletas,Para mejorar la función cerebral y nerviosa,Ginkgo Biloba y vitaminas del complejo B,1 tableta al día,Estimulación cognitiva y nerviosa,73,0.0,5.833,9.34,0.3754817987152034,0.0,0.0
74,GINSENG ESENCIAL FCO 75 ML,"{'FRASCO': [1, 26.0]}",Frasco,Tónico energizante,Ginseng,Según indicación médica,Aumento de la vitalidad y resistencia,74,1.0,15.0,26.0,0.4230769230769231,15.0,26.0
76,GRANEODIN FRAMBUESA CAJA X 24 PASTILLAS,"{'CAJA': [24, 3.0]}",Pastillas,Para el alivio de la garganta irritada,No especificado,Chupar una pastilla cada 4 horas,Alivio del dolor de garganta,76,28.0,1.5,3.0,0.5,42.0,84.0
77,GRANEODIN MIEL LIMON CAJA X 24 PASTILLAS,"{'CAJA': [24, 3.0]}",Pastillas,Para el alivio de la garganta irritada con sabor a miel y limón,No especificado,Chupar una pastilla cada 4 horas,Alivio del dolor de garganta,77,32.0,1.22,3.0,0.5933333333333334,39.04,96.0
78,HEMOBEX 10 ML HIGADO CRUDO + COMPLEJO B,"{'JARABE': [1, 10.0]}",Gotas,Suplemento vitamínico para el hígado y complejo B,Hígado crudo y vitaminas del complejo B,Según indicación médica,Mejora la función hepática y aporta energía,78,4.0,5.3,10.0,0.47,21.2,40.0
79,HIDRAVIDA COCO,"{'BOTE': [1, 19.0]}",Bebida,Bebida hidratante sabor a coco,No aplica,Según necesidad,Hidratación y aporte de electrolitos,79,6.0,11.32,19.0,0.4042105263157894,67.92,114.0
80,HIDRAVIDA FRESA,"{'BOTE': [1, 19.0]}",Bebida,Bebida hidratante sabor a fresa,No aplica,Según necesidad,Hidratación y aporte de electrolitos,80,4.0,11.54,19.0,0.3926315789473684,46.16,76.0
81,HIDRAVIDA JAMAICA,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,81,4.0,11.58,19.0,0.3905263157894736,46.32,76.0
82,HIDRAVIDA LIMA LIMON,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,82,3.0,11.58,19.0,0.3905263157894736,34.74,57.0
83,HIDRAVIDA MARACUYA,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,83,4.0,11.58,19.0,0.3905263157894736,46.32,76.0
84,HIDRAVIDA MORA -AZUL,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,84,4.0,11.44,19.0,0.3978947368421053,45.76,76.0
85,HIDRAVIDA NARANJA-MANDARINA,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,85,4.0,11.58,19.0,0.3905263157894736,46.32,76.0
86,HIDRAVIDA UVA,"{'BOTE': [1, 19.0]}",Jarabe,Suplemento vitamínico,Vitaminas y minerales,Tomar 10 ml al día,Ayuda a mantener un adecuado balance de vitaminas y minerales en el organismo,86,4.0,11.36,19.0,0.4021052631578947,45.44,76.0
87,HIERRO KIDS 240 ML,"{'FRASCO': [1, 28.0]}",Jarabe,Suplemento de hierro para niños,Hierro,Según indicación médica,Ayuda a prevenir o tratar la deficiencia de hierro en niños,87,1.0,8.3,28.0,0.7035714285714285,8.3,28.0
88,HIGAVYT 5 10 ML EXTRTACTO DE HIGADO,"{'FRASCO': [1, 10.0]}",Gotas,Suplemento de extracto de hígado,Extracto de hígado,Tomar 10 gotas al día,Ayuda a mantener la salud del hígado,88,12.0,5.3,10.0,0.47,63.6,120.0
89,IBUPROFENO FORTE 800 MGS CAJA X 100 BLIST X 10,"{'CAJA': [100, 20.0], 'BLISTER': [10, 2.0]}",Tabletas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Alivia el dolor y reduce la inflamación,89,103.0,0.74,2.0,0.63,76.22,206.0
90,LANSOPRAZOL 30 MG BLIST X 10 CAJA X 50   INFASA,"{'BLISTER': [10, 19.0], 'CAJA': [50, 95.0]}",Cápsulas,Inhibidor de la bomba de protones,Lansoprazol,Tomar 1 cápsula al día,Reduce la producción de ácido en el estómago,90,7.0,11.4,19.0,0.3999999999999999,79.8,133.0
91,LECHE DE MAGNESIA PHILIPS 60 ML,"{'BOTE': [1, 23.0]}",Líquido,Laxante y antiácido,Hidróxido de magnesio,60 ml,Laxante y neutralizante de ácido estomacal,91,4.0,12.3,23.0,0.4652173913043478,49.2,92.0
92,LIMPIA COLON FCO X 100 TABS,"{'FRASCO': [1, 40.0]}",Tabletas,Suplemento dietético para limpieza del colon,No especificado,100 tabletas,Suplemento dietético,92,1.0,20.3,40.0,0.4925,20.3,40.0
93,LOFENAK (DICLO SOD 100 MGS) CAJA X 50 B BLIST X 10,"{'CAJA': [50, 35.0], 'BLISTER': [10, 7.0]}",Tabletas,Antiinflamatorio y analgésico,Diclofenaco sódico,100 mg,Antiinflamatorio y analgésico,93,12.0,3.8,7.0,0.4571428571428572,45.6,84.0
94,LOMBRINIÑOS CAJA X 40 SOBRES,"{'CAJA': [40, 70.0], 'SOBRE': [1, 1.75]}",Sobres,Antiparasitario para lombrices intestinales,No especificado,40 sobres,Antiparasitario,94,14.0,1.0,1.75,0.4285714285714285,14.0,24.5
95,LORATADINA 10MG GEL CAPS CAJA X 100 BLIST X 10,"{'CAJA': [100, 110.0], 'BLISTER': [10, 11.0]}",Cápsulas,Antihistamínico para alergias,Loratadina,10 mg,Antihistamínico,95,2.0,6.5,11.0,0.4090909090909091,13.0,22.0
97,MARIGUANOL BOTE,"{'BOTE': [1, 10.0]}",Crema,Analgésico tópico,Cannabis,No especificado,Analgésico tópico,97,2.0,5.3,10.0,0.47,10.6,20.0
98,MELATONINA 5MGS FCO X 100 BOLSA X 10 VESA,"{'FRASCO': [1, 13.0], 'BOLSA': [10, 130.0]}",Tabletas,Suplemento para regular el sueño,Melatonina,5 mg,Regulador del sueño,98,10.0,3.8,13.0,0.7076923076923076,38.0,130.0
99,MENOESTROGEN FRASCO X 30 TAB,"{'FRASCO': [1, 50.0]}",Tabletas,Terapia hormonal para menopausia,Estrógenos,30 tabletas,Terapia hormonal,99,1.0,26.0,50.0,0.48,26.0,50.0
100,MENTOL DAVIS MUESTRA,"{'DISPENSADOR': [1, 3.5]}",Crema,Analgésico tópico,Mentol,Muestra,Analgésico tópico,100,5.0,1.66,3.5,0.5257142857142857,8.299999999999999,17.5
101,MIGRADORIXINA BLIST X 10 CAJA X 100,"{'BLISTER': [10, 4.7], 'CAJA': [100, 47.0]}",Tableta,Tratamiento de la migraña,Sumatriptán,1 tableta cada vez que se presente la migraña,Agonista selectivo de los receptores de serotonina,101,163.0,0.8,4.7,0.8297872340425533,130.4,766.1
102,NAUSEOL BLISTER X 10 TAB BONIN CAJA X 500,"{'BLISTER': [10, 0.9], 'CAJA': [500, 45.0]}",Tableta,Tratamiento de las náuseas,Dimenhidrinato,1 tableta cada 4-6 horas según sea necesario,Antihistamínico y antiemético,102,220.0,0.2,0.9,0.7777777777777777,44.0,198.0
103,NEOBOL CREMA 30 GRS,"{'CREMA': [1, 77.0]}",Crema,Tratamiento de quemaduras y heridas leves,Dexpantenol,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,Cicatrizante y regenerador de la piel,103,1.0,40.0,77.0,0.4805194805194805,40.0,77.0
104,NEOBOL SPRAY 30 ML,"{'SPRAY': [1, 77.0]}",Spray,Tratamiento de quemaduras y heridas leves,Dexpantenol,Aplicar sobre la zona afectada 2-3 veces al día,Cicatrizante y regenerador de la piel,104,2.0,45.3,77.0,0.4116883116883117,90.6,154.0
