medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
S.C.I.40 MG  BLISTER X 5 CAJA X 20,Tabletas,Tratamiento de condiciones específicas según prescripción médica.,Desconocido,Según indicación médica.,Desconocida
S.S.N. GOTAS,Gotas,Uso nasal para aliviar la congestión.,Solución salina,Aplicar 1-2 gotas en cada fosa nasal según sea necesario.,Descongestionante nasal
S.S.N. SPRAY NASAL 50 ML,Spray nasal,Alivio de la congestión nasal.,Solución salina,1-2 pulverizaciones en cada fosa nasal según sea necesario.,Descongestionante nasal
SKITTLES,Caramelos,"Producto alimenticio, no es un medicamento.",No aplica,No aplica,No aplica
SUKROL VIGOR MUJER X 30 TABS,Tabletas,Suplemento alimenticio para mujeres.,Vitaminas y minerales,Tomar 1 tableta al día.,Suplemento vitamínico
TOALLA HUMEDA FAMILY CHOICE,Toallas húmedas,Limpieza y cuidado personal.,No aplica,Uso según necesidad.,No aplica
TOALLA HUMEDA POM POM X 80,Toallas húmedas,Limpieza y cuidado personal.,No aplica,Uso según necesidad.,No aplica
VICK INHALADOR,Inhalador,Alivio de la congestión nasal.,"Mentol, alcanfor",Inhalar profundamente según sea necesario.,Descongestionante nasal
VITAFLENACO 25 MG CAJA X 30 BLISTER X 15,Tabletas,Alivio del dolor e inflamación.,Diclofenaco,Tomar 1 tableta cada 8 horas según necesidad.,Antiinflamatorio no esteroideo
VITAL FUERTE H3 X 30,Tabletas,Suplemento vitamínico.,Vitaminas y minerales,Tomar 1 tableta al día.,Suplemento vitamínico
