medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
AZITROMICINA 500 MGS CAJA X 3 UMEDICA,Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Inhibición de la síntesis de proteínas bacterianas
AZITROMICINA 500 MGS CAJA X 5 SELECT,Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Inhibición de la síntesis de proteínas bacterianas
BABY OR NOT PRUEBA DE EMBARAZO DISMEV,Prueba de embarazo,Determinar la presencia de embarazo,Desconocido,N/A,Detectar la hormona hCG en la orina para confirmar el embarazo
BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,Crema,Tratamiento de inflamaciones de la piel,"Betametasona, Ácido Salicílico","0.05% Betametasona, 3% Ácido Salicílico",Acción antiinflamatoria y queratolítica en la piel
BIFONEX  CREMA 1% 15G SELEC TUBO,Crema,Tratamiento de infecciones fúngicas de la piel,Bifonazol,1%,Inhibición del crecimiento de hongos en la piel
BIFONEX  SPRAY 1% 40 G SELEC,Spray,Tratamiento de infecciones fúngicas de la piel,Bifonazol,1%,Inhibición del crecimiento de hongos en la piel
BISALEX LAXANTE BLISTER X 10,Tableta,Alivio del estreñimiento ocasional,Desconocido,Según indicación médica,Estimulación del tránsito intestinal para facilitar la evacuación
BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,Condón,Método anticonceptivo de barrera,Látex,1 condón por uso,Prevención de embarazos no deseados y enfermedades de transmisión sexual
BROMURO DE OTILONIO CAJA X 30 BLIST X 15,Tabletas,Tratamiento de trastornos gastrointestinales como el síndrome de intestino irritable,Bromuro de Otilonio,Tomar 1 tableta 3 veces al día,Antiespasmódico
BRONCOMAT 15 ML SOL/PARA RAESPIRAR,Solución para inhalación,Alivio de la congestión nasal y bronquial,Descongestionante nasal,Inhalar 1-2 veces en cada fosa nasal según sea necesario,Descongestionante
BRONCUROL NF BLIST X 10 TABS,Tabletas,Tratamiento de la tos y la congestión bronquial,Descongestionante bronquial,Tomar 1 tableta cada 4-6 horas según sea necesario,Mucolítico
CALAMINA LOCION 100ML CAPLIN,Loción,Alivio de la picazón y la irritación de la piel,Calamina,Aplicar sobre la piel afectada según sea necesario,Antiprurítico
CEFADROXILO 250MG/60ML SUS SELEC,Suspensión oral,Tratamiento de infecciones bacterianas como faringitis y amigdalitis,Cefadroxilo,Según indicación médica,Antibiótico
CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,Tabletas,Tratamiento de infecciones bacterianas como infecciones del tracto urinario,Cefadroxilo,Tomar 1 tableta cada 12 horas,Antibiótico
CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,Cápsulas,Tratamiento de infecciones bacterianas como la gonorrea,Cefixima,Tomar 1 cápsula como dosis única,Antibiótico
CIKRASEL 40G SPRAY,Spray,Alivio de la irritación de la garganta,Descongestionante oral,Rociar en la garganta según sea necesario,Descongestionante
CIKRASEL CREMA TUBO 30GMS,Crema,Alivio de la picazón y la irritación de la piel,Descongestionante tópico,Aplicar sobre la piel afectada según sea necesario,Antiprurítico
CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,Tabletas,Tratamiento de la hiperlipidemia,Ciprofibrato,Tomar 1 tableta al día,Hipolipemiante
CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,Tabletas,Antibiótico para infecciones bacterianas,Ciprofloxacina,500 mg,Inhibe la replicación del ADN bacteriano
CIRUELAX 75 MG BLISTER X 10  GARDEN,Tabletas,Laxante suave,No especificado,75 mg,Estimula el tránsito intestinal
CIRUELAX FORTE CAJA X 24 BLIST X 12,Tabletas,Laxante fuerte,No especificado,No especificado,Estimula el tránsito intestinal
CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,Cápsulas,Antibiótico para infecciones bacterianas,Clindamicina,300 mg,Inhibe la síntesis de proteínas bacterianas
CLORA+DEXA+NAFA GOTAS SELEC,Gotas óticas,Antiinflamatorio y antimicrobiano para infecciones del oído,Cloranfenicol + Dexametasona + Neomicina,No especificado,Combina efectos antiinflamatorios y antimicrobianos
CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,Colirio,Antiinflamatorio para ojos,Cloranfenicol + Dexametasona,No especificado,Reduce la inflamación ocular
CLORANFENICOL 0.5% GOTAS 15 ML SELEC,Gotas oftálmicas,Antibiótico para infecciones oculares,Cloranfenicol,0.5%,Inhibe la síntesis de proteínas bacterianas
CLORFENIRAMINA 10 MG AMP SELEC,Ampollas,Antihistamínico para alergias,Clorfeniramina,10 mg,Bloquea los receptores de histamina
CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,Tabletas,Antihistamínico para alergias,Clorfeniramina,4 mg,Bloquea los receptores de histamina
CLORFENIRAMINA MALEATO 2MG JBE. SELECT,Jarabe,Antihistamínico para alergias,Clorfeniramina maleato,2 mg,Bloquea los receptores de histamina
CLOROMILAN CAJA X 102,Tabletas,Antibiótico,Cloranfenicol,102 tabletas por caja,Inhibe la síntesis de proteínas en bacterias
CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,Crema,Antimicótico,Clotrimazol,1 %,Inhibe el crecimiento de hongos y levaduras
CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,Gel tópico,Antimicótico,Clotrimazol,1 %,Tratamiento de infecciones por hongos en la piel
CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,Óvulos vaginales,Antimicótico,Clotrimazol,100 mg por óvulo,Tratamiento de infecciones vaginales por hongos
CLOTRIPLEX TUBO 15 GMS,Crema,Antimicótico,Clotrimazol,15 g por tubo,Tratamiento de infecciones por hongos en la piel
COFAL FORTE TARRO 60 GRS ROJO,Pomada,Analgésico y antiinflamatorio,"Salicilato de metilo, mentol y alcanfor",60 g por tarro,Alivio del dolor y la inflamación muscular
COFAL TARRO 60 GRS AZUL,Pomada,Analgésico y antiinflamatorio,"Salicilato de metilo, mentol y alcanfor",60 g por tarro,Alivio del dolor y la inflamación muscular
COLAGENO CAJA X 100 CAP GEL BLISTER X 10,Cápsulas de gel,Suplemento dietético,Colágeno,"100 cápsulas por caja, 10 cápsulas por blister","Contribuye a la salud de la piel, articulaciones y huesos"
COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,Tabletas,Antiinflamatorio,Colchicina,"0.5 mg por tableta, 20 tabletas por blister, 100 tabletas por caja",Tratamiento de la gota y otras condiciones inflamatorias
COLCHICINA 0.5MG BLISTER X 10 CAPLIN,Cápsulas,Antiinflamatorio,Colchicina,"0.5 mg por cápsula, 10 cápsulas por blister",Tratamiento de la gota y otras condiciones inflamatorias
COLECTOR DE HECES C/PALETA 60ML,Solución,Dispositivo médico utilizado para la recolección de muestras de heces con una paleta incorporada.,No aplica,Seguir instrucciones del fabricante,No aplica
COLECTOR DE ORINA 120ML,Solución,Dispositivo médico utilizado para la recolección de muestras de orina.,No aplica,Seguir instrucciones del fabricante,No aplica
COLECTOR ORINA PEDIATRICO BOLSA OPERSON,Bolsa,Dispositivo médico pediátrico utilizado para la recolección de muestras de orina en niños.,No aplica,Seguir instrucciones del fabricante,No aplica
CROSPOVIDONA 20%  SUSP 60 ML SELEC,Suspensión,Medicamento utilizado como agente aglutinante y estabilizante en formulaciones farmacéuticas.,Crospovidona,Según indicación médica,Agente aglutinante y estabilizante
CYCLOFEM AMPOLLA PANAL 1 ML,Ampolla,Anticonceptivo inyectable de larga duración.,No aplica,Según indicación médica,Anticonceptivo
DENGUINA CAJA X 100 BLIST X 10,Tableta,Medicamento utilizado para el tratamiento de la fiebre del dengue.,No aplica,Según indicación médica,Tratamiento de la fiebre del dengue
DEXA+NEOMICINA 1 % OFTALMICA SELEC,Colirio,Colirio utilizado en el tratamiento de infecciones oculares.,"Dexametasona, Neomicina",Según indicación médica,Antiinflamatorio y antibiótico oftálmico
DEXAMETASONA AMPOLLA 8 MG CAPLIN,Ampolla,Medicamento corticoide utilizado en diversas condiciones inflamatorias.,Dexametasona,Según indicación médica,Corticoide antiinflamatorio
DEXANERVISEL KIT,Kit,Kit que contiene medicamentos para el tratamiento de la ansiedad y el estrés.,No aplica,Según indicación médica,Tratamiento de la ansiedad y el estrés
DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),Tableta,Medicamento corticoide utilizado en diversas condiciones inflamatorias.,Dexametasona,Según indicación médica,Corticoide antiinflamatorio
DICLOFENACO 1% GEL TUBO 20 GR SELECT,Gel,Antiinflamatorio tópico,Diclofenaco,1%,Analgésico y antiinflamatorio
DICLOFENACO 1% GEL TUBO 25 GR BALAXI,Gel,Antiinflamatorio tópico,Diclofenaco,1%,Analgésico y antiinflamatorio
DICLOFENACO ACIDO LIBRE 9MG FCO 120 ML SELE,Solución oral,Antiinflamatorio no esteroideo,Diclofenaco,9mg/ml,Analgésico y antiinflamatorio
DICLOFENACO AMPOLLA 75 MGS,Ampolla,Antiinflamatorio no esteroideo,Diclofenaco,75mg,Analgésico y antiinflamatorio
DICLOFENACO POT 50 MGS BLIST X 10 CAJA X 100 SELEC,Tableta,Antiinflamatorio no esteroideo,Diclofenaco potásico,50mg,Analgésico y antiinflamatorio
DOLOFOR 500 MGS (DIPIRONA MAGNESICA) BLIST X 10,Tableta,Analgésico y antipirético,Dipirona magnésica,500mg,Analgésico y antipirético
DOLONERVISEL BLIST X 10 CAJA X 100,Tableta,Suplemento vitamínico para el sistema nervioso,Vitaminas del complejo B,Varía según la vitamina,Suplemento vitamínico
DROPA GEL (KETOPROFENO 2.5%) 50G,Gel,Antiinflamatorio tópico,Ketoprofeno,2.5%,Analgésico y antiinflamatorio
EFFCEE + ZINC  CAJA X 12 TAB. SOBRE X 4,Tableta efervescente,Suplemento vitamínico con zinc,"Vitaminas C y E, Zinc",Varía según la vitamina,Suplemento vitamínico
ENALAPRIL 10 MGS BLISTER X 20  CAJA X 100 SELEC,Tableta,Antihipertensivo,Enalapril,10mg,Inhibidor de la enzima convertidora de angiotensina
ENALAPRIL 20 MG BLISTER X 10 CAJA X 100 CAPLIN,Tabletas,Antihipertensivo,Enalapril,20 mg,Inhibidor de la enzima convertidora de angiotensina
ESOMEPRAZOL 40 MG BLIS X 10 CAJA X 100 BALAXI,Cápsulas,Antiulceroso,Esomeprazol,40 mg,Inhibidor de la bomba de protones
EX -FLU ANTIGRIPAL GOTAS 30ML SELEC,Gotas,Antigripal,"Descongestionante nasal, antitusígeno, antipirético",Varía según la presentación,"Descongestionante nasal, antitusígeno, antipirético"
EX -FLU TOS 120 ML SELEC,Jarabe,Antitusígeno,Antitusígeno,Varía según la presentación,Antitusígeno
EXFLU AMPOLLA PANAL SELEC,Ampollas,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal
EXFLU ANTIGRIPAL BLISTER X 10 CAJA X 70,Tabletas,Antigripal,"Descongestionante nasal, antitusígeno, antipirético",Varía según la presentación,"Descongestionante nasal, antitusígeno, antipirético"
EX-FLU KIT AMPOLLA SELEC,Kit,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal
EX-FLU NIÑOS SINUS 120 ML,Jarabe,Descongestionante nasal,Descongestionante nasal,Varía según la presentación,Descongestionante nasal
FAMOTIDINA 40 MG CAJA X 100 TAB CAPLIN,Tabletas,Antiulceroso,Famotidina,40 mg,Antagonista de los receptores H2
FERROCITON B CAJA X 10 AMP BEBIBLES,Ampollas bebibles,Suplemento de hierro,Hierro,Varía según la presentación,Suplemento de hierro
FLUCONAZOL 150 MGS CAJA X 2 CAPS SELEC,Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,150 mg,Antifúngico
FLUCONAZOL 200 MG  X 2 CAP. CAPLIN,Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico
FLUCONAZOL 200 MG X 4 CAPS HIPERFARMA,Cápsulas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico
FLUCONAZOL 200MG SELECT X2 TAB CAJA,Tabletas,Tratamiento de infecciones fúngicas,Fluconazol,200 mg,Antifúngico
FLUFIN ALERGIAS CAJA X 50 BLIS X 10 GEL BLANDA,Gel blanda,Alivio de síntomas de alergias,Desconocido,50 blísters x 10 g,Antihistamínico
FLUFIN AM SOBRE 2 GEL CAPS CAPLIN,Cápsulas,Alivio de síntomas de alergias,Desconocido,2 cápsulas,Antihistamínico
FUROSEMIDA 20 MG AMPOLLA 2 ML CAPLIN,Ampolla,Diurético,Furosemida,20 mg,Diurético de asa
FUROSEMIDA 40 MG CAJA X 100 BLIST X 10 CAPLIN,Comprimidos,Diurético,Furosemida,40 mg,Diurético de asa
FUROSEMIDA 40MG BLISTER X 10 SELEC,Comprimidos,Diurético,Furosemida,40 mg,Diurético de asa
GENTAMICINA 80 MG/2ML AMPOLLA CAPLIN,Ampolla,Antibiótico,Gentamicina,80 mg/2 ml,Antibiótico aminoglucósido
GLIBENCLAMIDA 5 MG   BLISTER X 20 CAJA X 100 SELEC,Tableta,Tratamiento de la diabetes mellitus tipo 2,Glibenclamida,5 mg,Estimulante de la secreción de insulina
GLIMEPIRIDA 4 MG BLISTER X 10 CAJA X 100 CAPLIN,Tableta,Tratamiento de la diabetes mellitus tipo 2,Glimepirida,4 mg,Estimulante de la secreción de insulina
GOTERO PLASTICO,Gotas,Administración de medicamentos en forma líquida por vía oral,No aplica,Variable,No aplica
GUAYACOLATO CON JBE.TOLU 120ML MENTOL HIPERFARM,Jarabe,Expectorante para el alivio de la tos,Guayacolato,Variable,Expectorante
HIDROCORTISONA 0.25 SELEC,Crema,Antiinflamatorio tópico para afecciones de la piel,Hidrocortisona,0.25%,Antiinflamatorio
HIDROCORTIZONA 1% CREMA 30 GRS SELEC,Crema,Antiinflamatorio tópico para afecciones de la piel,Hidrocortisona,1%,Antiinflamatorio
HIERRO +ACIDO FOLICO X 30 TAB. SELEC,Tableta,Suplemento de hierro y ácido fólico para prevenir o tratar la anemia,"Hierro, Ácido fólico",Variable,Suplemento nutricional
IBUPROFEN 100MG/5ML SUSP SELEC,Suspensión oral,Analgésico y antiinflamatorio,Ibuprofeno,100 mg/5 ml,"Analgésico, Antiinflamatorio"
IBUPROFENO+METOCARBA CAJA X 30 BLIST X 10,Tableta,Analgésico y antiespasmódico,"Ibuprofeno, Metocarbamol",Variable,"Analgésico, Antiespasmódico"
IRBERSARTAN 150 MGS CAJA X 30 BLIST X 10 SELEC,Tableta,Antihipertensivo para el control de la presión arterial,Irbesartán,150 mg,Antihipertensivo
IRBERSARTAN 300 MG CAJA X 30 BLIST X 10  SELEC,Tableta,Antihipertensivo,Irbesartan,300 mg,Bloqueador de los receptores de angiotensina II
IRBESARTAN 150/12.5MG HIDROCLO X 30 TABS CAPLIN,Tableta,Antihipertensivo,Irbesartan + Hidroclorotiazida,150 mg + 12.5 mg,Bloqueador de los receptores de angiotensina II + Diurético
KETOROLACO 60MG/2ML AMPOLLA VIJOSA,Ampolla,Analgésico y antiinflamatorio no esteroideo,Ketorolaco,60 mg/2 ml,Inhibidor de la síntesis de prostaglandinas
LAGRIMAS OCULARES GRS 15 ML GOTAS SELEC,Gotas,Hidratante ocular,No especificado,No especificado,Hidratación y lubricación del ojo
LANSOPRAZOL 30 MGS CAJA X 100 BLIST X 10 LOTUS,Cápsula,Inhibidor de la bomba de protones,Lansoprazol,30 mg,Reducción de la producción de ácido gástrico
LEVOFLOXACINA 500 MG BLIST X 10 SELEC UMEDICA,Tableta,Antibiótico,Levofloxacina,500 mg,Inhibición de la síntesis de ADN bacteriano
"LIDOCAINA 1% 3,5 ML PROMEGAL",Solución inyectable,Anestésico local,Lidocaína,1%,Bloqueo de los canales de sodio en las membranas celulares
LIDOCAINA 2% CAPLIN 3ML,Solución inyectable,Anestésico local,Lidocaína,2%,Bloqueo de los canales de sodio en las membranas celulares
LOPERAMIDA 2MG CAJA X 100 BLIST X 20 SELECT,Tableta,Antidiarreico,Loperamida,2 mg,Inhibición de la motilidad intestinal
LOSARTAN 100 MG BLIS X 10 CAJA X 100 BALAXI,Tableta,Antihipertensivo,Losartan,100 mg,Bloqueador de los receptores de angiotensina II
LOSARTAN 50 MG BLIS X 10  CAJA X 100 BALAXI,Tableta,Tratamiento de la hipertensión arterial,Losartan,50 mg,Antihipertensivo
LUBRICANTE VIVE SASHET,Gel,Lubricante íntimo,No aplica,No aplica,Lubricante
LUBRICANTE VIVE SASHET 5 ML FRESA,Gel,Lubricante íntimo con sabor a fresa,No aplica,No aplica,Lubricante
MEBENDAZOL 100MG SUSP 30 ML SELEC,Suspensión oral,Antiparasitario para el tratamiento de infecciones por parásitos intestinales,Mebendazol,100 mg/5 ml,Antiparasitario
MEBENDAZOL 100MGX BLIST X 6 TAB,Tableta,Antiparasitario para el tratamiento de infecciones por parásitos intestinales,Mebendazol,100 mg,Antiparasitario
MELOXICAM 15 MG/1.5 ML AMP SELEC,Ampolla,Antiinflamatorio no esteroideo para el tratamiento del dolor y la inflamación,Meloxicam,15 mg/1.5 ml,Antiinflamatorio
MELOXICAN 15MG CAJA X 30 TABS BLIST X 10 SELEC,Tableta,Antiinflamatorio no esteroideo para el tratamiento del dolor y la inflamación,Meloxicam,15 mg,Antiinflamatorio
MENOESTROGEN CAJA X 30 CAPS  BLIST X 10 FARMALINE,Cápsula,Terapia hormonal para el tratamiento de los síntomas de la menopausia,No aplica,No aplica,Terapia hormonal
METFO+GLIB 850/5MG BLIST X 10 CAJA X 100 INFASA,Tableta,Antidiabético para el tratamiento de la diabetes tipo 2,Metformina + Glibenclamida,850 mg + 5 mg,Antidiabético
METFORMINA 500 MG  BLIST X 10 CAJA X 30 SELEC,Tableta,Antidiabético para el tratamiento de la diabetes tipo 2,Metformina,500 mg,Antidiabético
METOCARBAMOL AMP SELECT,Ampolla,Relajante muscular,Metocarbamol,Inyectable,Relajante muscular de acción central
METRIZOL V OVULOS CAJA X 10 (METRO+NISTA),Óvulos,Tratamiento de infecciones vaginales,Metronidazol + Nistatina,Vaginal,Antibiótico + Antifúngico
METRONIDAZOL 125 MG SUSP 120 ML SELEC,Suspensión,Tratamiento de infecciones bacterianas,Metronidazol,Oral,Antibiótico
METRONIDAZOL 500 MG BLIST X 10 CAJA X 100  CAPLIN,Tabletas,Tratamiento de infecciones bacterianas,Metronidazol,Oral,Antibiótico
METRONIDAZOL 500 MGS X 10 OVULOS VAG CAPLIN,Óvulos,Tratamiento de infecciones vaginales,Metronidazol,Vaginal,Antibiótico
METRONIDAZOL+ NIST CAJA 5 OV CAPLIN,Óvulos,Tratamiento de infecciones vaginales,Metronidazol + Nistatina,Vaginal,Antibiótico + Antifúngico
MICONAZOL 2% CREMA 15 GRS CAPLIN,Crema,Tratamiento de infecciones por hongos en la piel,Miconazol,Tópica,Antifúngico
MIGRAPTAN (CLONIXATO + ERGOTAMINA) BLISTER  X 10,Tabletas,Tratamiento del dolor de cabeza por migraña,Clonixato + Ergotamina,Oral,Analgésico + Vasoconstrictor
MUCOBROXOL 120 ML,Jarabe,Mucolítico para el tratamiento de la tos productiva,Mucobroxol,Oral,Mucolítico
"NERVISEL 10,000 AMPOLLA SELEC PANAL",Ampolla,Suplemento vitamínico para el sistema nervioso,Complejo B,Inyectable,Suplemento vitamínico
"NERVISEL 25,000  AMPOLLA PANAL SELECT",Ampolla,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector
"NERVISEL 25,000 KIT SELEC",Kit,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector
NERVISEL TABS BLIST X 10 CAJA X 30,Tabletas,Tratamiento de trastornos neurológicos,Nervisel,"25,000 unidades",Neuroprotector
OLMERSARTAN MEDOXOMIL 40 MGS BLIST X 10 AJA X 30 CAP,Cápsulas,Antihipertensivo,Olmesartan medoxomil,40 mg,Bloqueador de receptores de angiotensina II
PANTOPRAZOL 40 MG BLIST X 10 CAJA X 100 CAPLIN,Cápsulas,Antiulceroso,Pantoprazol,40 mg,Inhibidor de la bomba de protones
PIROXICAM 20 MG BLIST X 10 CAJA X 100,Cápsulas,Antiinflamatorio no esteroideo,Piroxicam,20 mg,Inhibidor de la síntesis de prostaglandinas
PIROXICAM AMPOLLA 40 MGS,Ampolla,Antiinflamatorio no esteroideo,Piroxicam,40 mg,Inhibidor de la síntesis de prostaglandinas
PREDNISONA 5MG BLIST X 20 CAJA X 100  SELEC,Tabletas,Corticosteroide,Prednisona,5 mg,"Antiinflamatorio, inmunosupresor"
PREGABALINA 150MGS CAJA X 10 TABS  CAPLIN,Cápsulas,"Antiepiléptico, analgésico",Pregabalina,150 mg,Modulador de los canales de calcio
PRENATALES BLISTRER X 10 CAJA X 100  TABS CAPLIN,Tabletas,Suplemento vitamínico para embarazadas,Vitaminas y minerales,Varios componentes,Suplemento nutricional
PROPANOLOL 40 MG CAJA X 100 BLIST X 10 CAPLIN,Tabletas,"Tratamiento de la hipertensión, angina de pecho, arritmias cardíacas y otros trastornos cardiovasculares",Propranolol,40 mg,Antihipertensivo
PROPOLDERMA SPRAY BUCAL 30 ML,Spray,Alivio de la irritación bucal y de la garganta,No especificado,30 ml,Antiinflamatorio
RECOVER 1 LT CEREZA,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante
RECOVER 1 LT COCO,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante
RECOVER 1 LT MANZANA,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante
RECOVER 1 LT MELOCOTON,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,1 litro,Rehidratante
RECOVER 500ML CEREZA,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante
RECOVER 500ML COCO,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante
RECOVER 500ML MANZANA,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante
RECOVER 500ML MELOCOTON,Jarabe,Bebida isotónica para la recuperación después de la actividad física,No especificado,500 ml,Rehidratante
RECOVER DIABETICO LITRO CEREZA,Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético
RECOVER DIABETICO LITRO COCO,Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético
RECOVER DIABETICO LITRO MANZANA,Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético
RECOVER DIABETICO LITRO PIÑA,Jarabe,Suplemento alimenticio para personas con diabetes,No especificado,Según indicación médica,Suplemento dietético
RESTALER (LORATAD + BETA) CAJA X 10 TAB,Tableta,Antihistamínico para alergias,Loratadina + Betametasona,Según indicación médica,Antialérgico
SALBUTAMOL 2MG 120 ML SELEC,Jarabe,Broncodilatador para problemas respiratorios,Salbutamol,Según indicación médica,Broncodilatador
SEXTRON (SILDENAFIL) 100 MG X 1TAB,Tableta,Tratamiento de la disfunción eréctil,Sildenafil,100 mg por dosis,Vasodilatador
SILDENALFIN 100 MG X4 TBS UMEDICA,Tableta,Tratamiento de la disfunción eréctil,Sildenafilo,100 mg por dosis,Vasodilatador
SIMETICONA 100MG/ML GTS. FCO 30ML SELECT,Gotas,Antiflatulento para gases intestinales,Simeticona,Según indicación médica,Antiflatulento
SIMETICONA 40MG MAST BLIST X 10 SELEC CAJA X 30,Tableta masticable,Antiflatulento para gases intestinales,Simeticona,Según indicación médica,Antiflatulento
SOLUTO VITAL 15 ML,Solución,Suplemento vitamínico,Vitaminas y minerales,15 ml,Suplemento nutricional
SUERO EN POLVO CEREZA 1LT CAPLIN X 50,Polvo para reconstituir en solución,Suero rehidratante,Electrolitos,1 litro,Rehidratación
