medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
CREMA LUBRIDERM 400 ML ROSADA,Crema,Hidratación y cuidado para piel normal a seca.,No aplica,"Aplicar diariamente sobre la piel según sea necesario, masajeando hasta su completa absorción.",Hidratación y cuidado para piel normal a seca.
CREMA LUBRIDERM 750 ML DORADA,Crema,Hidratación intensiva para piel extra seca.,No aplica,"Aplicar generosamente sobre la piel seca, masajeando hasta su completa absorción. Usar diariamente.",Hidratación intensiva para piel extra seca.
CREMA LUBRIDERM MORADA LT,Crema,Hidratación y cuidado para piel sensible.,No aplica,"Aplicar diariamente sobre la piel limpia y seca, masajeando hasta su completa absorción.",Hidratación y cuidado para piel sensible.
CREMA NIVEA 400 ML MILK,Crema,Hidratación de la piel,No aplica,Aplicar diariamente sobre la piel limpia,No aplica
CREMA NIVEA 400 ML EXPRESS HYDRATATION,Crema,Hidratación rápida de la piel,No aplica,Aplicar diariamente sobre la piel limpia,No aplica
CREMA NIVEA 400 ML SOFT MILK,Crema,Hidratación suave de la piel,No aplica,Aplicar diariamente sobre la piel limpia,No aplica
CREMA NIVEA LATITA 20 ML,Crema,Hidratación de la piel,No aplica,Aplicar según necesidad sobre la piel limpia,No aplica
CREMA NIVEA LITRO AZUL,Crema,Hidratación intensiva de la piel,No aplica,Aplicar diariamente sobre la piel limpia,No aplica
CREMA NIVEA TARRO 400 ML,Crema,Hidratación de la piel,No aplica,Aplicar diariamente sobre la piel limpia,No aplica
DESODORANTE DEGREE H 76 GRS,Desodorante en barra,Control del sudor y olor corporal,No aplica,Aplicar en las axilas según necesidad,No aplica
DESODORANTE DEGREE M 74 GRS,Desodorante en barra,Control del sudor y olor corporal,No aplica,Aplicar en las axilas según necesidad,No aplica
DESODORANTE DOVE BARRA M 50 GRS,Desodorante en barra,Control del sudor y cuidado de la piel,No aplica,Aplicar en las axilas según necesidad,No aplica
DESODORANTE DOVE SPRAY 169 ML GRANADA,Desodorante en spray,Control del sudor y cuidado de la piel,No aplica,Rociar en las axilas a una distancia de 15 cm,No aplica
DESODORANTE DOVE SPRAY 169 ML ORIGINAL,Spray,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca a una distancia de 15 cm,No aplica
DESODORANTE DOVE SPRAY 169 ML TONO UNIFOR,Spray,Uso tópico para el control del olor corporal y unificación del tono de la piel,No aplica,Aplicar sobre la piel limpia y seca a una distancia de 15 cm,No aplica
DESODORANTE NIVEA ROLL-ON EFECTO SATIN,Roll-on,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca en las axilas,No aplica
DESODORANTE NIVEA ROLL-ON BEAUTY TOUCH,Roll-on,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca en las axilas,No aplica
DESODORANTE NIVEA ROLL-ON PEARL & BEAUTY,Roll-on,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca en las axilas,No aplica
DESODORANTE OLD SPICE 85 GRS,Stick,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca en las axilas,No aplica
DESODORANTE SECRET 73 GRS MUJER,Stick,Uso tópico para el control del olor corporal,No aplica,Aplicar sobre la piel limpia y seca en las axilas,No aplica
DULCES MENTA,Caramelo,No aplica,No aplica,Consumir según preferencia,No aplica
DULCES JOLLY RANCHER,Caramelo,No aplica,No aplica,Consumir según preferencia,No aplica
GATITO (TAMARINDO TAJIN) CAJA X 50,Dulce,No aplica,No aplica,Consumir según preferencia,No aplica
GOMITAS BOLITAS AZUCAR,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS FRESITAS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS HUEVITOS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS MANGITOS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS CULEBRITAS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS DONITAS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS MORITAS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS OSITOS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS TENYS,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOMITAS UNICORNIO,No aplica,No aplica,No aplica,Consumir como golosina según preferencia personal,No aplica
GOTAS PAPILLON BOLSA X 11,Gotas,No aplica,No aplica,No aplica,No aplica
HALLS CAJA X 12 SABORES NEGRO,Caramelo,No aplica,No aplica,Consumir según necesidad para aliviar la garganta,No aplica
HALLS CAJA X 18 SABORES,Caramelo,No aplica,No aplica,Consumir según necesidad para aliviar la garganta,No aplica
HILO DENTAL ORAL B,Hilo dental,No aplica,No aplica,Usar después del cepillado para limpiar entre los dientes,No aplica
HISOPOS X 100,Hisopo,No aplica,No aplica,Usar para limpiar áreas delicadas como los oídos,No aplica
JABON DOVE 135 GRS,Jabón en barra,No aplica,No aplica,Usar para la limpieza diaria de la piel,No aplica
LASAR MIMO TUBO 120 GRS,Crema,No aplica,No aplica,Aplicar en la piel según sea necesario,No aplica
LIMA PARA UÑAS,Lima,No aplica,No aplica,Usar para dar forma a las uñas,No aplica
LIMONCHO 120 GRAMOS CAJA X 10,Caramelo,No aplica,No aplica,Consumir según preferencia,No aplica
LUCAS,No aplica,No aplica,No aplica,No aplica,No aplica
MAMON LATEX UNIDAD,No aplica,No aplica,No aplica,Uso como chupete o tetina,No aplica
MAMON SILICON UNIDAD,No aplica,No aplica,No aplica,Uso como chupete o tetina,No aplica
NUEZ DE NOGAL,No aplica,No aplica,No aplica,Consumo como alimento,No aplica
PACHA EVENFLO Y BABY FARLIN 2 ONZ,No aplica,No aplica,No aplica,Uso para alimentar a bebés,No aplica
PACHA EVENFLO 8 ONZ,No aplica,No aplica,No aplica,Uso para alimentar a bebés,No aplica
PACHA FIRTS ESSENTIAL 4 ONZ,No aplica,No aplica,No aplica,Uso para alimentar a bebés,No aplica
PACHA FIRTS ESSENTIAL 5 ONZ,No aplica,No aplica,No aplica,Uso para alimentar a bebés,No aplica
PACHA MUM LOVE 3 ONZ,No aplica,No aplica,No aplica,Uso para alimentar a bebés,No aplica
PASTA DENTAL COLGATE SENSITIVE 100 GR ORIG,Pasta dental,Alivio de la sensibilidad dental,Nitrato de potasio,Cepillar los dientes dos veces al día,Desensibiliza los nervios en los dientes
PASTA DENTAL COLGATE SENSITIVE 100 GR PRO,Pasta dental,Alivio de la sensibilidad dental,Nitrato de potasio,Cepillar los dientes dos veces al día,Desensibiliza los nervios en los dientes
PASTA DENTAL SENSODYNE 113 GR,Pasta dental,Alivio de la sensibilidad dental,"Nitrato de potasio, fluoruro de sodio",Cepillar los dientes dos veces al día,Desensibilizante dental
PEINE FINO,No aplica,No aplica,No aplica,Usar para peinar y eliminar liendres,No aplica
PICAFRESAS BOLSA X 100,No aplica,No aplica,No aplica,Consumir como golosina,No aplica
PROTECTOR DE LABIOS CAJA X 13 PRICESMART,Bálsamo labial,Hidratación y protección de los labios,No aplica,Aplicar en los labios según sea necesario,Hidratante y protector labial
PROTECTORES SENSATION X 12,No aplica,No aplica,No aplica,Usar según necesidad,No aplica
PROTECTORES KOTEX X 20,No aplica,No aplica,No aplica,Usar según necesidad,No aplica
PROTECTORES KOTEX X 20 EXTRA LARGO,No aplica,No aplica,No aplica,Usar según necesidad,No aplica
PROTECTORES PANTI KOTEX X 44,No aplica,No aplica,No aplica,Usar según necesidad,No aplica
RELLENITOS MIX BOLSA X 80,No aplica,No aplica,No aplica,Consumir como golosina,No aplica
REPELENTE OFF CREMA FAMILIAR 200 ML,Crema,Repelente de insectos,DEET,Aplicar en las áreas expuestas de la piel cada 4-6 horas,Repelente de insectos
REPELENTE OFF LIQUIDO 177 ML,Líquido,Repelente de insectos para uso externo,DEET,Aplicar en las áreas expuestas de la piel cada 4-6 horas según sea necesario,Repelente de insectos
REPELENTE OFF SPRAY 170 GRS,Spray,Repelente de insectos para uso externo,DEET,Rociar en las áreas expuestas de la piel cada 4-6 horas según sea necesario,Repelente de insectos
RING POP,No aplica,No aplica,No aplica,Consumir como un dulce,No aplica
SHAMPOO JOHNSON 200 ML,Líquido,"Shampoo para el cabello, suave para uso diario",No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO JOHNSON 400 ML,Líquido,"Shampoo para el cabello, suave para uso diario",No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO JOHNSON 400 ML MANZANILLA,Líquido,"Shampoo para el cabello con extracto de manzanilla, suave para uso diario",No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO 415 ML ACLARANTE,Líquido,Shampoo aclarante para el cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO 415 ML ANTI EDAD,Líquido,Shampoo anti edad para el cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO 415 ML ENGROSADOR,Líquido,Shampoo engrosador para el cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO 415 ML HERBOLARIA,Líquido,Shampoo herbolario para el cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO ALOE 415 ML,Shampoo,Producto para el cuidado del cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO COCO 415 ML,Shampoo,Producto para el cuidado del cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO FRUTOS ROJOS 415 ML,Shampoo,Producto para el cuidado del cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO GINSENG 415 ML,Shampoo,Producto para el cuidado del cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SHAMPOO TIO NACHO PURIF CEL MADRES 415 ML,Shampoo,Producto para el cuidado del cabello,No aplica,"Aplicar sobre el cabello mojado, masajear y enjuagar",No aplica
SPLENDA BOLSA DE 100,Edulcorante,Sustituto de azúcar para endulzar alimentos y bebidas,Sucralosa,Usar según el gusto personal,No aplica
SPLENDA BOLSA DE 50,Edulcorante,Sustituto de azúcar para endulzar alimentos y bebidas,Sucralosa,Usar según el gusto personal,No aplica
STEVIA BOLSA X 100,Edulcorante,Sustituto de azúcar natural para endulzar alimentos y bebidas,Stevia,Usar según el gusto personal,No aplica
STEVIA BOLSA X 50,Edulcorante,Sustituto de azúcar natural para endulzar alimentos y bebidas,Stevia,Usar según el gusto personal,No aplica
SWEETENER BOLSA X 100,Edulcorante,Sustituto de azúcar para endulzar alimentos y bebidas,No aplica,Usar según el gusto personal,No aplica
SWEETENER BOLSA X 50,No aplica,Endulzante para alimentos y bebidas,No aplica,Usar según se desee para endulzar,No aplica
TINTES,No aplica,Coloración para el cabello,No aplica,Aplicar según las instrucciones del producto,No aplica
TOALLA HUMEDA FAMILY CHOICE,No aplica,Toallas húmedas para limpieza personal,No aplica,Usar según sea necesario,No aplica
TOALLA SABA BUENAS NOCHES 8,No aplica,Toallas sanitarias para uso nocturno,No aplica,Usar durante la noche según necesidad,No aplica
TOALLA SABA BUENAS NOCHES X 11,No aplica,Toallas sanitarias para uso nocturno,No aplica,Usar durante la noche según necesidad,No aplica
TOALLA SABA INVISIBLE BUENOS DIAS,No aplica,Toallas sanitarias para uso diurno,No aplica,Usar durante el día según necesidad,No aplica
TOALLAS FACIAL SWISSPERS X 100,No aplica,Toallas faciales para limpieza,No aplica,Usar según sea necesario,No aplica
VASELINA BLANCA BEBE JALOMA 60 GRS,No aplica,Protección e hidratación de la piel,No aplica,Aplicar sobre la piel según necesidad,No aplica
