medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
CARDIOASPIRINA CAJA X 48 TAB,Tabletas,Prevención de enfermedades cardiovasculares,Ácido acetilsalicílico,Varía según la presentación,"Antiinflamatorio, analgésico, antiplaquetario"
CEREBREX GINKO AMP BEBIBLES X 10,Ampollas bebibles,Mejora la circulación cerebral y la memoria,Ginkgo Biloba,Varía según la presentación,"Vasodilatador cerebral, antioxidante"
CIRBRAL 25 MG BLIST X 20 CAJA X 60,Tabletas,Tratamiento de trastornos cognitivos,Citicolina,25 mg,"Neuroprotector, potenciador cognitivo"
CIRBRAL FORTE 75 MG BLIST X 10 CAJA X 30,Tabletas,Tratamiento de trastornos cognitivos,Citicolina,75 mg,"Neuroprotector, potenciador cognitivo"
CITRATO DE MAGNESIA BOLSA X 16 SOBRES,Polvo para solución oral,Laxante osmótico,Citrato de magnesio,Varía según la presentación,Laxante
CLO-PRIM 0.1MG/GOTAS 15 ML,Gotas orales,Tratamiento de trastornos de ansiedad,Clonazepam,0.1 mg por gota,"Ansiolítico, anticonvulsivante"
CLO-PRIM 10MG BLIST X 10 CAJA X 40 TABS,Tabletas,Tratamiento de trastornos de ansiedad y convulsiones,Clonazepam,10 mg,"Ansiolítico, anticonvulsivante"
CLOPRIM 5MG/5ML JARABE 120 ML,Jarabe,Antipirético y analgésico,Paracetamol,5mg/5ml,Reduce la fiebre y alivia el dolor
CLOPRIM CAJA X 3 AMPOLLAS,Ampollas,Analgésico y antipirético,Paracetamol,Varía según la presentación,Alivia el dolor y reduce la fiebre
CODERPINA JBE 60 ML,Jarabe,Antitusivo y analgésico,Codeína,Varía según la presentación,Suprime la tos y alivia el dolor
CUAJO CAJA X 100 BLISTER X 10,Tabletas,Suplemento alimenticio,Varía según la presentación,Varía según la presentación,Ayuda en la coagulación de la leche
CURADERMA LATITA,Pomada,Cicatrizante y antiséptico,Varía según la presentación,Uso tópico,Ayuda en la cicatrización y previene infecciones
CURITA REDONDA  CUREBAND CAJA X 100,Curita adhesiva,Protección de heridas leves,Varía según la presentación,Uso externo,Protege la herida y facilita la cicatrización
CURITAS CUREBAND CAJA X 100 + 10,Curitas adhesivas,Protección de heridas leves,Varía según la presentación,Uso externo,Protege la herida y facilita la cicatrización
DAPAZ (AMITRIP + CLORDIA)  CAJA X 30 BLIST X 10,Tabletas,Antidepresivo y ansiolítico,Amitriptilina + Clordiazepóxido,Varía según la presentación,Tratamiento de la depresión y la ansiedad
DEXAMICINA GOTASX 5 ML QUALIPHARM,Gotas,Antiinflamatorio y antialérgico,Dexametasona,Varía según la presentación,Reduce la inflamación y alivia las alergias
DEXTROVITA AL 10% 1/2 LITRO,Solución oral,Suplemento vitamínico,Dextrosa,10%,Aporta energía y nutrientes
DEXTROVITA AL 5% 1 LITRO,Solución inyectable,Suplemento nutricional,Dextrosa,5%,Aporte de energía
DEXTROVITA AL 5% 1/2 LITRO,Solución inyectable,Suplemento nutricional,Dextrosa,5%,Aporte de energía
DIYODO 650  BLIST X 10TAB,Tableta,Suplemento de yodo,Yoduro de potasio,650 mcg,Regulación de la función tiroidea
DOLOFIN DISP X 60,Tableta dispersable,Analgésico y antipirético,Paracetamol,500 mg,Alivio del dolor y la fiebre
DOLOVITANERVO KIT AMPOLLA,Solución inyectable,Suplemento vitamínico,Vitaminas del complejo B,Varias vitaminas,Mejora del estado nutricional y del sistema nervioso
DORIVAL GEL 200MG CAJA X 36 GELCAPS,Cápsula gelatinosa,Antiinflamatorio,Ibuprofeno,200 mg,Alivio del dolor y la inflamación
ENTEROGUANIL ADULTO DIS X 200 BLIST X 4 TABS,Tableta,Antiparasitario,Proguanil,200 mg,Prevención y tratamiento de la malaria
ENTEROGUANIL NIÑO DIS X 200 BLIST X 4 TABS,Tableta,Antiparasitario pediátrico,Proguanil,50 mg,Prevención y tratamiento de la malaria en niños
ESCABIN JABON DE AZUFRE 80 GRS SANTE,Jabón,Tratamiento para la sarna,Azufre,80 g,Eliminación de ácaros y alivio de la picazón
ESENCIA MARAVILLOSA SIERRA FCO,Frasco,Producto cosmético,No aplica,No aplica,Aromaterapia y cuidado de la piel
FERRIDOCE CAJA X 30TAB BLIST X 10,Tabletas,Suplemento de hierro,Hierro,1 tableta al día,Suplemento de hierro
GASA ENFERMERITA  1/2 X 1 YD.,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GASA ENFERMERITA 3 X 1,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GASA SUPERIOR  3 X 10 YD,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GASA SUPERIOR  4 X 10,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GASA SUPERIOR 2 X 10 YD,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GASA SUPERIOR 6 X 10 YDS,Gasa,Cubrir heridas,No aplica,Según sea necesario,Cubrir heridas
GINGIVEX PINCELADAS FCO. 27 ML,Solución tópica,Enjuague bucal para encías inflamadas,No aplica,Según indicaciones del médico,Antiinflamatorio para encías
GLORANTA TE FRUTOS ROJOS CAJA X 25 SOBRES,Infusión en sobres,Infusión de frutos rojos,No aplica,"1 sobre en agua caliente, según preferencia",Infusión de frutos rojos
GLORANTA TE LIMON/JENGIBRE CAJA X 25 SOBRES,Infusión en sobres,Infusión de limón y jengibre,No aplica,"1 sobre en agua caliente, según preferencia",Infusión de limón y jengibre
HARTMANN (1000) 1 LITRO,Solución,Solución para irrigación y lavado de heridas,No aplica,Según indicación médica,Irrigante y lavado de heridas
JERINGA 5 CC 21 1 1/2,Jeringa,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Administración de medicamentos
JERINGA 5 CC 23 X 1 1/2,Jeringa,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Administración de medicamentos
JERINGA 5 CC 23 X 1 1/4,Jeringa,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Administración de medicamentos
KOLIT BLISTER X 5 TAB,Tableta,Para aliviar los síntomas de la colitis,No aplica,Según indicación médica,Alivio de síntomas de colitis
KURA KURA LATA 13 GRS,Crema,Crema para el cuidado de la piel,No aplica,Aplicar según necesidad,Cuidado de la piel
LASSAR CREMA LAFCO 120 GRS,Crema,Crema para el tratamiento de dermatitis del pañal,Óxido de zinc,Aplicar en la zona afectada según indicación médica,Tratamiento de dermatitis del pañal
LEVADURA SANTE FRASCO X100TAB,Tableta,Suplemento nutricional de levadura de cerveza,Levadura de cerveza,Tomar según indicación médica,Suplemento nutricional
LICOPODIO BOLSA X 32 SOBRES DISFAVIL,Sobre,Suplemento dietético de licopodio,Licopodio,Tomar según indicación médica,Suplemento dietético
MAGNESIA DE SALUD THERFAM DISPEN X 72 SOB,Sobre,Suplemento dietético de magnesio,Magnesio,Tomar según indicación médica,Suplemento dietético
MANA SOBRE (LAXANTE) 1 ONZ,Sobre,Laxante,No especificado,1 onza,Estimula el movimiento intestinal
MANTECA DE CACAO,Crema,Hidratante para la piel,Manteca de cacao,No especificado,Emoliente y protector de la piel
MENTOL DAVIS GRANDE 12 GRS,Crema,Alivio de dolores musculares y de cabeza,Mentol,12 gramos,Analgésico y refrescante
MEPROGESICO II  BLISTER X 10,Tableta,Analgésico y antipirético,Meprobamato,1 tableta cada 6 horas,Relajante muscular y calmante del dolor
NAUSEOL 1 ML X 1 AMPOLLA,Ampolla,Antiemético,Metoclopramida,1 ml por vía intramuscular,Controla las náuseas y vómitos
NAUSEOL INFANTIL SUPOSITORIOS X 6 BONIN,Supositorio,Antiemético pediátrico,Metoclopramida,1 supositorio cada 6 horas,Alivia las náuseas en niños
NAUSEOL SUSP JBE FCO 60 ML,Jarabe,Antiemético,Metoclopramida,Según indicación médica,Controla las náuseas y vómitos
NEO GRIPINA 500 MG INYECTADO,Inyectable,Analgésico y antipirético,Dipirona,500 mg por vía intramuscular,Alivio del dolor y la fiebre
NEOFEBRINA JARABE 100 ML,Jarabe,Antipirético,Paracetamol,Según indicación médica,Reduce la fiebre y alivia el dolor
NEOFEBRINA SUPOSITORIO NIÑOS 300 MGS CAJA X 5,Supositorio,Antipirético pediátrico,Paracetamol,1 supositorio cada 6 horas,Alivia la fiebre en niños
NEOMELUBRINA CAJA X 5 SUPOSITORIOS,Supositorios,Analgésico y antipirético,Dipirona,1 supositorio cada 6 horas,Analgésico y antipirético
NEOMELUBRINA JBE 100 ML,Jarabe,Analgésico y antipirético,Dipirona,Según indicación médica,Analgésico y antipirético
NERVADEN CAJA X 30 BLIST X 10 CAPS,Cápsulas,Suplemento vitamínico,Vitaminas del complejo B,1 cápsula al día,Suplemento vitamínico
NERVIFEN BLIST X 10 CAJA X 30 PHENIEL,Tabletas,Analgésico y antiinflamatorio,Ibuprofeno,Según indicación médica,Analgésico y antiinflamatorio
NEUMONIL FORTE DISP X 100 BLIST X 2 TAB,Tabletas,Antibiótico,Amoxicilina,1 tableta cada 8 horas,Antibiótico
NEUMONIL G X 60 TABS,Tabletas,Mucolítico y expectorante,Ambroxol,1 tableta cada 12 horas,Mucolítico y expectorante
OJO DE AGUILA GOTAS,Gotas oftálmicas,Lubricante ocular,Hialuronato de sodio,Según indicación médica,Lubricante ocular
OPTICLUDE REG CAJA X 20 UNID NEXCARE,Parche ocular,Oclusor ocular para tratamiento de ambliopía,No aplica,Según indicación médica,Oclusor ocular
ORFENGESIC (ORFE/PARAC) BLIST X 10 CAJA X 20,Tabletas,Analgésico y antipirético,Orfenadrina y Paracetamol,Según indicación médica,Analgésico y antipirético
OTIK GOTAS,Gotas óticas,Antibiótico para infecciones del oído,Ofloxacino,Según indicación médica,Antibiótico
PANADOL MUJER DISP. X 48 TAB (24 SOBRES),Tabletas,Alivio del dolor y fiebre en mujeres,Paracetamol,1 tableta cada 6 horas,Analgésico y antipirético
PANADOL NIÑOS DISP X 100 TAB MASTIC,Tabletas masticables,Alivio del dolor y fiebre en niños,Paracetamol,Según peso y edad del niño,Analgésico y antipirético
PANCLASA PAGUE 30 LLEVE 40 BLISTER X 10,Tabletas,Suplemento vitamínico,Vitaminas y minerales,Según indicaciones del médico,Suplemento dietético
PARCHE LEON,Parche transdérmico,Alivio del dolor localizado,No especificado,Según indicaciones del médico,Analgésico tópico
PASIFLORA COMP CAJA X 30 BLISTER X 10,Cápsulas,Suplemento natural para la ansiedad,Pasiflora,Según indicaciones del médico,Ansiolítico natural
PEZONERA DE VIDRIO EDIGAR,Dispositivo para lactancia,Protección de los pezones durante la lactancia,No aplica,Según necesidad,Dispositivo de protección
PIOJINA SHAMPOO 60 ML SNTE,Shampoo,Tratamiento para la pediculosis,Piretrinas,Según indicaciones del médico,Pediculicida
POMADA GMS 12 GRS,Pomada,Cicatrizante y protector de la piel,No especificado,Según necesidad,Cicatrizante y protector
POMADA GMS TARRO 50 GRS,Pomada,Cicatrizante y protector de la piel,No especificado,Según necesidad,Cicatrizante y protector
RELAFLEX KIT AMPOLLA VIJOSA,Ampollas,Kit de relajación muscular,No especificado,Según indicaciones del médico,Relajante muscular
REUMETAN CREMA 30 GRS. TUBO,Crema,Antiinflamatorio tópico,Diclofenaco,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,"Antiinflamatorio, analgésico"
REUMETAN S 25 MG BLIST X 10 CAJA X 100,Tabletas,Antiinflamatorio no esteroideo,Diclofenaco sódico,1 tableta cada 8 horas,"Antiinflamatorio, analgésico"
ROWACHOL BLISTER X 10 CAJA X 50 GEL CPAS,Cápsulas,Suplemento dietético para la función hepática,Aceites esenciales,1 cápsula 3 veces al día,Hepatoprotector
ROWATINEX PERLAS AMARILLAS BLI X 10,Perlas,Suplemento dietético para la función hepática y biliar,Aceites esenciales,1 perla 3 veces al día,Hepatoprotector
SCUDO NATURAL CAJA X 3,Condón,Preservativo,N/A,Uso único,Prevención de enfermedades de transmisión sexual
SCUDO ORO ESTRIADO CAJA X 3,Condón,Preservativo,N/A,Uso único,Prevención de enfermedades de transmisión sexual
SCUDO ORO RETARDANTE CAJA X 3,Condón,Preservativo con retardante,N/A,Uso único,"Prevención de enfermedades de transmisión sexual, retardante de eyaculación"
SINSUEÑO BLIST X 10,Tabletas,Inductor del sueño,Doxilamina,1 tableta antes de dormir,"Sedante, hipnótico"
SOLUCION SALINA ISOTONICA LITRO,Solución,Solución salina para irrigación y lavado,Cloruro de sodio,Según necesidad médica,"Hidratación, irrigación"
SOLUCION SALINA PARA NEBULIZAR 250 ML,Solución,Solución salina para nebulización,Cloruro de sodio,Según indicación médica,"Hidratación, mucolítico"
SOLUTINA GOTAS OFTALMICAS,Gotas,Solución oftálmica para el tratamiento de infecciones oculares,Sulfato de neomicina,Aplicar 1 o 2 gotas en el ojo afectado cada 4 horas,Antibiótico de amplio espectro
SUDAGRIP CAJA X 12 CAPSULAS,Cápsulas,Alivio de los síntomas de la gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 cápsula cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico"
SUERO MIXTO 5% FCO 500 ML,Solución inyectable,Rehidratación y reposición de electrolitos en casos de deshidratación,"Cloruro de sodio, cloruro de potasio, cloruro de calcio",Según indicación médica,Solución electrolítica
TABCIN AD FM EF DISPEN X 72 SOBRES(CELESTE),Sobres efervescentes,Alivio de los síntomas de gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 sobre cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico"
TABCIN EXTRA FUERTE X 60 EFERV (ROJO),Tabletas efervescentes,Alivio de los síntomas de gripe y resfriado común,"Paracetamol, fenilefrina, clorfenamina",Tomar 1 tableta cada 6 horas,"Analgésico, descongestionante nasal, antihistamínico"
TABCIN FLEMA Y CONGESTION CAJA X 30,Tabletas,Alivio de la tos y congestión nasal,"Guaifenesina, fenilefrina",Tomar 1 tableta cada 8 horas,"Expectorante, descongestionante nasal"
TABCIN GRIPE Y TOS LIQUID GEL X 30,Cápsulas líquidas,"Alivio de los síntomas de gripe, tos y congestión nasal","Paracetamol, dextrometorfano, fenilefrina",Tomar 1 cápsula cada 6 horas,"Analgésico, antitusivo, descongestionante nasal"
TABCIN GRIPE Y TOS X 60 TABS EFERV (MORADO),Tabletas efervescentes,"Alivio de los síntomas de gripe, tos y congestión nasal","Paracetamol, dextrometorfano, fenilefrina",Tomar 1 tableta cada 6 horas,"Analgésico, antitusivo, descongestionante nasal"
TABCIN LIQUID GEL DIA X 30,Cápsulas líquidas,Alivio de los síntomas de gripe y resfriado durante el día,"Paracetamol, fenilefrina",Tomar 1 cápsula cada 6 horas,"Analgésico, descongestionante nasal"
TABCIN LIQUID GEL NOCHE X 30,Cápsulas líquidas,Alivio de los síntomas de gripe y resfriado durante la noche,"Paracetamol, fenilefrina",Tomar 1 cápsula cada 6 horas antes de dormir,"Analgésico, descongestionante nasal"
TABCIN NIÑOS DISP X 48 BLIST X 12 MASTIC,Tabletas masticables,Analgésico y antipirético,Paracetamol,Según indicación médica,Alivio del dolor y reducción de la fiebre
TABCIN NIÑOS X 60 EFERV,Tabletas efervescentes,Analgésico y antipirético,Paracetamol,Según indicación médica,Alivio del dolor y reducción de la fiebre
TALCO DERMO-G11 300 GRS,Polvo,Antisudorífico y desodorante,Talco,Según necesidad,Absorción de la humedad y prevención de irritaciones
TALCO SUDORIN 110 GRS,Polvo,Antisudorífico y desodorante,Talco,Según necesidad,Absorción de la humedad y prevención de irritaciones
TENSIL 25 MG CAJA X 40 BLIST X 20,Tabletas,Antihipertensivo,Enalapril,Según indicación médica,Reducción de la presión arterial
TERMOMETRO DE CINTA MEDITEM FRONT,Dispositivo de medición,Termómetro para medir la temperatura corporal,N/A,Según necesidad,Medición de la temperatura
TIAMINA 100 MG FCO X 10  ML PIERSAN,Solución oral,Suplemento vitamínico,Tiamina,Según indicación médica,Aporte de vitamina B1
TINTURA DE YODO NEGRO 1 ONZ,Solución tópica,Antiséptico,Yodo,Según indicación médica,Desinfección de la piel
TIRA LECHE DE VIDRIO,Dispositivo de extracción de leche materna,Facilita la extracción de leche materna,N/A,Según necesidad,Extracción de leche materna
UNI-PULMIN ANTIGRIPAL CAJA X 25 SOBRES,Sobres granulados,Antigripal,"Paracetamol, clorfenamina, fenilefrina",Según indicación médica,Alivio de los síntomas gripales
VICK TARRO 100 GRS,Pomada,Alivio de dolores musculares y articulares,Mentol y alcanfor,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Analgésico y antiinflamatorio
VICK TARRO 50 GRS,Pomada,Alivio de dolores musculares y articulares,Mentol y alcanfor,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Analgésico y antiinflamatorio
VIRO GRIP GRIPE Y TOS JBE 120 ML,Jarabe,Alivio de los síntomas de gripe y tos,"Paracetamol, fenilefrina y dextrometorfano",Tomar la dosis indicada por el médico,"Antipirético, descongestionante y antitusígeno"
VITAFLENACO GEL TOPICA 20 G,Gel tópico,Alivio de dolores musculares y articulares,Diclofenaco,Aplicar una pequeña cantidad en la zona afectada y masajear suavemente,Antiinflamatorio y analgésico
VITAL FUERTE 10 AMP BEB 10 ML,Ampollas bebibles,Suplemento vitamínico,Complejo B,Tomar una ampolla al día,Suplemento vitamínico
"VITANERVO 25,000 KIT AMP PIERSAN",Ampollas,Suplemento vitamínico,Vitaminas del complejo B,Seguir las indicaciones del médico,Suplemento vitamínico
VITAPYRENA DISP X50,Tabletas dispersables,Analgésico y antipirético,Paracetamol,Tomar según necesidad,Analgésico y antipirético
VITAPYRENA FORTE DISP X50,Tabletas dispersables,Analgésico y antipirético,Paracetamol,Tomar según necesidad,Analgésico y antipirético
XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,Comprimidos,Inductor del sueño,Zolpidem,Tomar un comprimido antes de dormir,Inductor del sueño
XIRMEN 4 MG /2 ML X 1 AMP INYECT,Ampolla inyectable,Antiinflamatorio,Dexametasona,Seguir las indicaciones del médico,Antiinflamatorio
ZORRITONE CARAMELO JENGIBRE POWER X 100,Caramelo,Alivio de la tos y la irritación de garganta,Jengibre,Chupar un caramelo cada 4 horas,Propiedades antiinflamatorias y antioxidantes del jengibre ayudan a calmar la tos y la irritación de garganta
