medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
CEFIXIMA 400 MG CAJA X 10 TAB,Tabletas,Antibiótico utilizado para tratar infecciones bacterianas.,Cefixima,"400 mg por vía oral una vez al día durante 7 a 14 días, según la infección.",Inhibe la síntesis de la pared celular bacteriana.
CEFTRIAXONA 1G VITALIS VIAL INY,Inyección,Antibiótico para tratar infecciones bacterianas graves.,Ceftriaxona,1 g por vía intravenosa o intramuscular cada 24 horas.,Inhibe la síntesis de la pared celular bacteriana.
CERENERVOL CJ X 10 AMP BEBIBLES,Ampollas bebibles,Suplemento vitamínico para mejorar la función neurológica.,Complejo de vitaminas del grupo B,Una ampolla bebible al día.,Contribuye al funcionamiento normal del sistema nervioso.
CIRUELA SEN CAJA X 15 H & V,Tabletas,Laxante para el alivio del estreñimiento ocasional.,Senósidos,Tomar 1-2 tabletas antes de acostarse.,Estimula el peristaltismo intestinal.
COLIVERIO PLUS CJ X30 CAPS BLIST X 5,Cápsulas,Suplemento para la salud del hígado.,Silimarina,Tomar una cápsula dos veces al día.,Protege las células hepáticas y mejora la función hepática.
DIPRONOVA 1 ML AMP,Ampolla,Antiinflamatorio y analgésico para el tratamiento del dolor y la inflamación.,Dexametasona,1 ml por vía intramuscular o intravenosa según indicación médica.,Reduce la inflamación y suprime la respuesta inmune.
ESENCIA DE CLAVO 15 ML DISFAVIL,Líquido,Uso tópico para aliviar el dolor dental y como antiséptico.,Aceite de clavo,Aplicar una pequeña cantidad en el área afectada según sea necesario.,Propiedades analgésicas y antisépticas.
ESOMEPRAZOL 40 MG IV AMPOLLA LOTUS BALAXI,Inyección,Inhibidor de la bomba de protones para el tratamiento de la acidez estomacal y úlceras.,Esomeprazol,40 mg por vía intravenosa una vez al día.,Reduce la producción de ácido en el estómago.
FERULA TIPO BASBALL TALLA M,Dispositivo ortopédico,Inmovilización de lesiones en la mano o muñeca.,No aplica,Usar según indicaciones médicas.,Proporciona soporte y estabilización.
FERULA TIPO RANITA TALLA M,Dispositivo ortopédico,Inmovilización de lesiones en el dedo.,No aplica,Usar según indicaciones médicas.,Proporciona soporte y estabilización.
FUROSEMIDA 10 MG ML AMP BALAXI,Ampolla,Diurético utilizado para tratar la retención de líquidos y la hipertensión.,Furosemida,"Administrar 20-40 mg por vía intravenosa o intramuscular, según indicación médica.","Inhibe la reabsorción de sodio y cloro en el asa de Henle, aumentando la excreción de agua y electrolitos."
GLIMEPIRIDA 4 MG BLISTER X 10 WASHINGTON,Tableta,Medicamento antidiabético utilizado para el tratamiento de la diabetes tipo 2.,Glimepirida,Tomar 1-4 mg una vez al día con el desayuno o la primera comida principal.,Estimula la liberación de insulina de las células beta del páncreas.
GLORANTA JENGIBRE- MENTA CAJA X 25 SOB X 4,Sobre,Suplemento dietético utilizado para aliviar molestias digestivas.,Jengibre y menta,Disolver el contenido de un sobre en agua caliente y consumir después de las comidas.,El jengibre y la menta tienen propiedades carminativas y digestivas.
GLORANTA MIEL MENTA CAJA X 25 SOB X 4,Sobre,Suplemento utilizado para aliviar la irritación de garganta.,Miel y menta,Disolver el contenido de un sobre en agua caliente y consumir según sea necesario.,La miel tiene propiedades suavizantes y la menta es refrescante.
JERINGA 20 CC X 21 X 1 1/2,Jeringa,Dispositivo médico utilizado para la administración de medicamentos inyectables.,N/A,Usar según las indicaciones del procedimiento médico.,N/A
JERINGA 60 ML SIN AGUJA ALFA,Jeringa,Dispositivo médico utilizado para la administración de líquidos o medicamentos.,N/A,Usar según las indicaciones del procedimiento médico.,N/A
KURAX (LEVAMISOL HCI),Tableta,Antiparasitario utilizado para tratar infecciones por helmintos.,Levamisol,"Tomar 150 mg como dosis única, según indicación médica.",Actúa como un agente inmunomodulador y antiparasitario.
LIDOCAINA 2 % C/PRESERVANTE VIAL 50 ML LOTUS,Vial,Anestésico local utilizado para procedimientos médicos.,Lidocaína,"Administrar por vía subcutánea o intramuscular, según indicación médica.",Bloquea la conducción nerviosa al inhibir el flujo de iones de sodio.
MANTECA DE CACAO MENTOLADA LATA,Pomada,Producto tópico utilizado para hidratar y proteger la piel.,Manteca de cacao y mentol,Aplicar sobre la piel según sea necesario.,La manteca de cacao hidrata y el mentol proporciona una sensación refrescante.
MASCARILLA NEBULIZAR (NEONATO) OPERSON,Mascarilla,Dispositivo médico utilizado para la administración de medicamentos en aerosol.,N/A,Usar según las indicaciones del procedimiento médico.,N/A
MASCARILLA NEBULIZAR (NIÑO) OPERSON,Dispositivo médico,Utilizada para administrar medicamentos en forma de vapor a niños a través de un nebulizador.,N/A,Usar según las indicaciones del médico o del fabricante del nebulizador.,N/A
MASCARILLA NEBULIZAR (ADULTO) OPERSON,Dispositivo médico,Utilizada para administrar medicamentos en forma de vapor a adultos a través de un nebulizador.,N/A,Usar según las indicaciones del médico o del fabricante del nebulizador.,N/A
METOCLOPRAMIDA 10 MG CJX100 TAB BLIST X 10,Tableta,Utilizado para tratar náuseas y vómitos.,Metoclopramida,"10 mg hasta 3 veces al día, 30 minutos antes de las comidas.",Antiemético y procinético.
MINISEC 1GM SOBRE BEBIBLE 5ML(SUCRALFATO),Suspensión oral,Utilizado para tratar úlceras gástricas.,Sucralfato,"1 g (un sobre) 4 veces al día, 1 hora antes de las comidas y al acostarse.",Protector de la mucosa gástrica.
NEUTRAGEL BLISTER X 10 TAB (BONIN),Tableta,Utilizado para tratar mareos y náuseas.,Dimenhidrinato,"50 mg cada 4-6 horas según necesidad, no exceder 400 mg en 24 horas.",Antiemético y antivertiginoso.
OMEPRAZOL 40 MG VIAL IV (VITALIS),Inyección intravenosa,Utilizado para tratar condiciones gástricas como reflujo gastroesofágico.,Omeprazol,40 mg una vez al día por vía intravenosa.,Inhibidor de la bomba de protones.
OXIDO ZINC SOBRE 28 GRS BOLSA X 16,Polvo tópico,Utilizado para proteger la piel y tratar irritaciones.,Óxido de zinc,Aplicar según sea necesario en el área afectada.,Protector y astringente dérmico.
POSTAVIT 25 MG CJ X 25 TAB,Tableta,Utilizado como suplemento vitamínico.,Multivitamínico,Una tableta diaria o según indicación médica.,Suplemento nutricional.
PREGABALINA 75 MG CAJA X 100 BLIST X 10 CAPS,Cápsula,Utilizado para tratar el dolor neuropático y la epilepsia.,Pregabalina,"75 mg dos veces al día, ajustado según respuesta clínica.",Anticonvulsivante y analgésico.
PROTECTOR LABIAL JALOMA BOTE CON 60,Bálsamo labial,Utilizado para hidratar y proteger los labios.,N/A,Aplicar en los labios según sea necesario.,Hidratante y protector.
RHELAX FLEB POMADA 60 GRS,Pomada,Tratamiento tópico para aliviar síntomas de insuficiencia venosa.,Heparina sódica,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día.,Anticoagulante y antiinflamatorio.
SECNIDAZOL 500 MG 12 BLIST X 4 CAJA X 48,Tableta,Tratamiento de infecciones parasitarias y bacterianas.,Secnidazol,Tomar 2 gramos en una sola dosis.,Antiparasitario y antibacteriano.
SUCRALFATO QADIRA 200 ML SUSP,Suspensión oral,Tratamiento de úlceras gástricas y duodenales.,Sucralfato,"Tomar 1 gramo (10 ml) 4 veces al día, 1 hora antes de las comidas y al acostarse.",Protector de la mucosa gástrica.
SUERO EN POLVO NARANJA 1 LT PROMEGAL X 25,Polvo para solución oral,Rehidratación oral en casos de diarrea o deshidratación.,Electrolitos y glucosa,Disolver el contenido en 1 litro de agua y consumir según necesidad.,Rehidratante oral.
TRINOGEL FRAMBUESA SUSP 360 ML,Suspensión oral,Suplemento nutricional.,Vitaminas y minerales,Tomar 15 ml al día o según indicación médica.,Suplemento dietético.
TYLENOL ROJO EXTRA F CJ X 20 TAB 10 SOB,Tableta,Alivio del dolor y la fiebre.,Acetaminofén,"Tomar 1-2 tabletas cada 4-6 horas según necesidad, no exceder 8 tabletas en 24 horas.",Analgésico y antipirético.
UNICIL 1.2 MEGAS (UNIPHARM),Inyección,Tratamiento de infecciones bacterianas.,Penicilina G procaína,Administrar por vía intramuscular cada 12-24 horas según indicación médica.,Antibiótico.
UNICIL 4 MEGAS (UNIPHARM),Inyección,Tratamiento de infecciones bacterianas.,Penicilina G procaína,Administrar por vía intramuscular cada 12-24 horas según indicación médica.,Antibiótico.
VISINA ESTERI J&J GOTAS 15 ML (TETRIZOLIN),Gotas oftálmicas,Alivio temporal del enrojecimiento ocular.,Tetrizolina,Instilar 1-2 gotas en el ojo afectado cada 6-8 horas según necesidad.,Descongestionante ocular.
VISTA CLARA 15 ML (ANTIALERGICO),Gotas oftálmicas,Alivio de síntomas alérgicos oculares.,Antihistamínico,Instilar 1-2 gotas en el ojo afectado cada 8 horas según necesidad.,Antialérgico ocular.
VITAMINA D 2000 BLIST X 15 CAJA X 30 H&V,Tabletas,Suplemento dietético para mantener niveles adecuados de vitamina D.,Vitamina D,Tomar una tableta al día con una comida.,"Regula el metabolismo del calcio y fósforo, y promueve la salud ósea."
ZINC 30 MG CAJA X 30 BLIST X 10 CAPS (FORAL SALUD),Cápsulas,Suplemento para mejorar el sistema inmunológico y la salud general.,Zinc,"Tomar una cápsula al día, preferiblemente con una comida.",Contribuye al funcionamiento normal del sistema inmunitario y a la protección de las células frente al daño oxidativo.
ZORRITONE CARAMELO BARRA CAJA X 12 JENGIBRE,Caramelos,Alivio temporal de la irritación de garganta y tos.,Jengibre,Disolver un caramelo en la boca cada 2 horas según sea necesario.,Calma la garganta y alivia la tos mediante la acción del jengibre.
