medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,Suspensión,Tratamiento de infecciones bacterianas,Azitromicina,200 mg/5 ml,Antibiótico macrólido
AZITROMICINA 500 MG CAJA X 3 TAB,Tableta,Tratamiento de infecciones bacterianas,Azitromicina,500 mg,Antibiótico macrólido
BENZOATO DE BENCILO FCO X 120 ML SELEC,Frasco,Antimicótico tópico,Benzoato de bencilo,Aplicar en la zona afectada según indicación médica,Tratamiento de infecciones por hongos en la piel
BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,Tableta efervescente,Alivio de la acidez estomacal y la indigestión,Bicarbonato de sodio,"1 tableta disuelta en agua, cada 4 horas según sea necesario",Neutraliza el ácido del estómago y alivia la acidez
CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,Tableta,Suplemento de calcio y vitamina D para prevenir y tratar la deficiencia de estos nutrientes,"Calcio, Vitamina D",1 tableta al día,Aumenta la absorción de calcio en el intestino y promueve la mineralización ósea
CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,Tableta,Antiepiléptico y estabilizador del estado de ánimo,Carbamazepina,200 mg,Anticonvulsivante
CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,Tableta,Antiepiléptico y estabilizador del estado de ánimo,CARBAMAZEPINA,200 mg,Anticonvulsivante y estabilizador del estado de ánimo
CEFIXIMA 100MG/5ML X FCO 60 ML ARGUS O CAPLIN,Suspensión oral,Antibiótico indicado para el tratamiento de infecciones causadas por bacterias sensibles a la cefixima,Cefixima,100mg/5ml,Inhibe la síntesis de la pared celular bacteriana
CEFTRIAXONA 1G VIAL PANAL CAJA X 10 ARGUS,Vial,Antibiótico para el tratamiento de infecciones bacterianas,Ceftriaxona,1g,Inhibe la síntesis de la pared celular bacteriana
CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,Cápsula,"Antiinflamatorio no esteroideo indicado para el alivio del dolor y la inflamación en condiciones como la artritis reumatoide, la osteoartritis y la espondilitis anquilosante.",Celecoxib,200 mg,Inhibidor selectivo de la ciclooxigenasa-2 (COX-2)
CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,Tableta,Alivio de los síntomas de la rinitis alérgica y urticaria,Cetirizina,10 mg,Antihistamínico
CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC ,Solución Oftálmica,Tratamiento de infecciones oculares causadas por bacterias susceptibles,Ciprofloxacina,0.3%,Antibiótico de amplio espectro
CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,Tableta recubierta,"Prevención de eventos trombóticos en pacientes con enfermedad arterial coronaria, cerebrovascular o periférica",Clopidogrel,75 mg,Antiagregante plaquetario
CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,Crema vaginal,Tratamiento de infecciones vaginales por hongos como la candidiasis,Clotrimazol,Aplicar una pequeña cantidad de crema en la vagina una vez al día durante 7 días,"Antifúngico de amplio espectro que actúa inhibiendo la síntesis del ergosterol en la membrana celular de los hongos, provocando su muerte"
CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,Crema vaginal,Tratamiento de infecciones vaginales por hongos,CLOTRIMAZOL,"Aplicar una cantidad suficiente de crema en la vagina una vez al día, preferiblemente antes de acostarse, durante 3 a 7 días","Antifúngico de amplio espectro que actúa impidiendo la síntesis del ergosterol en la membrana celular de los hongos, causando su muerte"
CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40 ,Crema,Tratamiento de infecciones vaginales causadas por hongos,Clotrimazol,Aplicar una cantidad suficiente de crema en la zona afectada dos veces al día durante 7 días,Antifúngico de amplio espectro
COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,Cápsulas,Suplemento vitamínico,Complejo B,1 cápsula al día,Mejora el metabolismo y la función nerviosa
COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN ,Jarabe,Suplemento vitamínico,Complejo B,1 sobre al día,Suplemento vitamínico para el sistema nervioso
COQUELUCHE FCO 120 ML,Jarabe,Tratamiento de la tos ferina o coqueluche,Pertussis Vaccine,Según indicación médica,Estimula la producción de anticuerpos contra la bacteria Bordetella pertussis
CREMA LASSAR BB COOL 120 GRS,Crema,Crema para el tratamiento de irritaciones de la piel,Óxido de zinc y óxido de magnesio,Aplicar una capa delgada sobre la zona afectada 2-3 veces al día,Acción antiinflamatoria y protectora de la piel
CUESIIGERMINA CAJA X 10 AMP PHARMAV,Ampollas,Tratamiento de infecciones bacterianas,Cuesiigerminal,1 ampolla cada 12 horas,Antibiótico de amplio espectro
DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,Tableta,Antihistamínico utilizado para el tratamiento de la rinitis alérgica y la urticaria crónica,Desloratadina,5 mg,Antihistamínico no sedante de segunda generación
DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,Tableta,Antihistamínico utilizado para el tratamiento de la rinitis alérgica y urticaria crónica,Desloratadina,5 mg,Antihistamínico no sedante
DESLORTADINA JARABE FCO X 60 ML SELEC,Jarabe,Antihistamínico para el alivio de los síntomas de la alergia,Desloratadina,5 ml cada 24 horas,Antihistamínico no sedante
DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,Cápsula,Antiinflamatorio y antialérgico,Dexametasona,1 cápsula cada 24 horas,Reduce la inflamación y la respuesta inmune del cuerpo
DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),Tableta,Antiinflamatorio esteroideo,Dexametasona,0.5 mg,"Antiinflamatorio, inmunosupresor"
DEXTROMETORFANO  JBE 120 ML SELEC,Jarabe,Antitusivo,Dextrometorfano,120 ml,Supresor del reflejo de la tos
DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,Cápsulas,Analgésico y antiinflamatorio no esteroideo,Diclofenaco,100 mg,Inhibidor de la síntesis de prostaglandinas
DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,Cápsulas de gel,Analgésico y antiinflamatorio,Diclofenaco,100 mg,Inhibidor de la síntesis de prostaglandinas
DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,Cápsulas de gel,"Alivio del dolor y la inflamación en condiciones como artritis, gota, dolor de espalda, entre otros",Diclofenaco,100 mg,Antiinflamatorio no esteroideo (AINE)
DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100 ARGUS,Tableta,"Alivio del dolor y la inflamación en condiciones como artritis, dolor muscular, dolor de espalda, dolor de cabeza, entre otros",Diclofenaco potásico,50 mg,Antiinflamatorio no esteroideo (AINE)
DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,Tableta,Analgésico y antiinflamatorio no esteroideo,Diclofenaco Sódico,50 mg,Inhibidor de la síntesis de prostaglandinas
DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,Cápsula,Antibiótico utilizado para tratar infecciones causadas por bacterias sensibles a la dicloxacilina,Dicloxacilina,500 mg,Inhibe la síntesis de la pared celular bacteriana
DIPIRONA AMPOLLA 2 ML CAPLIN,Ampolla,Analgésico y antipirético,Dipirona,2 ml,Analgésico y antipirético
DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,Cápsulas,Analgésico y antipirético,Paracetamol,100 mg,Analgésica y antipirética
DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,Cápsulas de gel,Analgésico y antipirético,Ibuprofeno,100 mg,Antiinflamatorio no esteroideo
DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,Solución bucal,Analgésico y antiinflamatorio para el alivio del dolor de dientes y encías,Clorhidrato de benzidamina,Aplicar 3 a 4 veces al día sobre la zona afectada,Analgésico y antiinflamatorio
DOLO-NERVISEL  KIT ,Tabletas y cápsulas,Alivio del dolor y la inflamación,"Ibuprofeno, Paracetamol, Vitamina B1, Vitamina B6, Vitamina B12",Según indicación médica,"Analgésico, antiinflamatorio, neuroprotector"
DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,Gel Caps,Tratamiento de la ansiedad y el insomnio,Diazepam,25 mgs,Ansiolítico y sedante
DROPADEX DUO BLIST X 10 CAJA X 10,Tableta,Analgésico y antipirético,"Paracetamol, Clorfenamina",1 tableta cada 6 horas,"Analgésico, antipirético y antihistamínico"
ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardíaca,Enalapril,20mg,Inhibidor de la enzima convertidora de angiotensina (IECA)
ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,Tabletas,Suplemento digestivo utilizado para mejorar la digestión de los alimentos,Enzimas digestivas,Tomar 1 tableta después de cada comida,Facilita la descomposición de los alimentos en el sistema digestivo
ENZITROL BLIST X 10 CAJA X 100,Tableta,Tratamiento de enfermedades cardiovasculares,Enalapril,10 mg,Inhibidor de la enzima convertidora de angiotensina
ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,Tableta,Antibiótico macrólido utilizado para tratar infecciones bacterianas,Eritromicina,500 mg,"Inhibe la síntesis de proteínas en las bacterias, deteniendo su crecimiento y reproducción"
ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,Suspensión,Antibiótico utilizado para tratar infecciones causadas por bacterias,Eritromicina,250 mg/5 ml,"Inhibe la síntesis de proteínas en las bacterias, deteniendo su crecimiento y reproducción"
ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL ,Ampolleta bebible,Suplemento vitamínico y mineral para el tratamiento de la fatiga y debilidad,Pheniel,1 ampolla al día,Estimulante y revitalizante
ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,Tableta,"Tratamiento de enfermedades ácido-pépticas como la úlcera gástrica, úlcera duodenal, reflujo gastroesofágico y síndrome de Zollinger-Ellison.",Esomeprazol,40 mg,Inhibidor de la bomba de protones
ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,Cápsulas,"Tratamiento de úlceras gástricas, duodenales, esofagitis por reflujo gastroesofágico, síndrome de Zollinger-Ellison, entre otras condiciones relacionadas con la acidez estomacal.",Esomeprazol,40 mg,"Inhibidor de la bomba de protones, reduce la producción de ácido en el estómago y ayuda a aliviar los síntomas relacionados con el exceso de acidez."
ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,Tableta recubierta,"Tratamiento del dolor agudo y crónico, la osteoartritis, la artritis reumatoide y la espondilitis anquilosante",Etoricoxib,90 mg,"Antiinflamatorio no esteroideo (AINE) con propiedades analgésicas, antiinflamatorias y antipiréticas"
EXFLU ADULTO SINUS FCO 120 ML,Jarabe,Alivio de los síntomas de la gripe y resfriado común,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,"Analgésico, antihistamínico, descongestionante nasal"
EXFLU JARABE FCO X 120 ML MULTISINTOMAS,Jarabe,Alivio de los síntomas de gripa y resfriado común,"Paracetamol, Clorfenamina, Fenilefrina",Tomar 10 ml cada 6 horas,"Analgésico, Antihistamínico, Descongestionante nasal"
FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,Jarabe,Medicamento utilizado para aliviar la congestión nasal y la tos asociada con resfriados y alergias.,Dexclorfeniramina + Betametasona,"Se recomienda tomar 5 ml cada 6 horas, no exceder de 4 dosis en 24 horas.",La dexclorfeniramina es un antihistamínico que ayuda a aliviar la congestión nasal y la picazón en la nariz y la garganta. La betametasona es un corticosteroide que reduce la inflamación y alivia la tos.
FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,Cápsulas,Tratamiento de infecciones causadas por hongos,Fluconazol,150 mg,Antifúngico
FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,Tableta,Suplemento dietético que ayuda a mantener la salud del hígado y mejorar la función cerebral,Fosfolípidos esenciales,Tomar 1 tableta al día,Ayuda a mejorar la función hepática y cerebral
GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,Tableta,Tratamiento de la epilepsia y neuralgia postherpética,Gabapentina,400 mg,Antiepiléptico y analgésico
GASTROPRAL BLIST X 10 CAJA X 100 ,Tableta,Tratamiento de la acidez estomacal y la indigestión,Ranitidina,Tomar 1 tableta cada 12 horas,Inhibidor de la secreción ácida gástrica
GENCLOBEN CREMA TUBO 30 GMS,Crema,"Tratamiento de dermatitis, eczemas, picaduras de insectos, quemaduras leves y otras afecciones de la piel",Gentamicina y Betametasona,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,"Antiinflamatorio, antibacteriano y antiprurítico"
GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,Cápsula gelatinosa,Suplemento alimenticio para adultos mayores,Ginseng rojo,Tomar una cápsula al día,Estimulante y revitalizante
GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,Cápsulas,Suplemento dietético utilizado para mejorar la circulación sanguínea y la función cerebral.,Extracto de Ginkgo Biloba,"Tomar 1 cápsula al día, preferiblemente con alimentos.","Mejora la circulación sanguínea periférica y cerebral, aumentando el flujo de oxígeno y nutrientes a nivel celular."
GINSENG JALEA REAL CAJA X 10 ML CAPLIN,Jalea,Suplemento dietético,Ginseng,10 ml,Estimulante y revitalizante
GLICITOS JBE FCO X 120 ML ,Jarabe,Tratamiento de la diabetes tipo 2,Metformina,"La dosis usual es de 500 mg a 2000 mg al día, dividida en 2 o 3 dosis",Reduce la producción de glucosa en el hígado y mejora la sensibilidad a la insulina en los tejidos
GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),Sobre,Analgésico y antiinflamatorio no esteroideo,Meloxicam + Glucosamina,1 sobre cada 24 horas,Alivio del dolor y la inflamación
GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12 ,Sobre,Suplemento vitamínico,Vitaminas,1 sobre al día,Aporte de vitaminas y minerales
GUAYATOS FCO X 120 ML ,Solución oral,Antitusivo y expectorante,Guaifenesina,Adultos y niños mayores de 12 años: 10 ml cada 4 horas. Niños de 6 a 12 años: 5 ml cada 4 horas. Niños de 2 a 6 años: 2.5 ml cada 4 horas.,"Ayuda a disminuir la viscosidad de las secreciones bronquiales y facilita su eliminación, aliviando la tos y mejorando la expectoración."
HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN ,Tableta,Tratamiento de la hipertensión arterial y la retención de líquidos,Hidroclorotiazida,50 mg,Diurético y antihipertensivo
IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS ,Tableta,"Alivio del dolor, fiebre y reducción de la inflamación",Ibuprofeno,400 mg,Antiinflamatorio no esteroideo (AINE)
IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,Tableta,Alivio del dolor y la inflamación,Ibuprofeno,600 mg,Antiinflamatorio no esteroideo
IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,Tableta,Alivio del dolor y la inflamación,Ibuprofeno,800 mg,"Antiinflamatorio, analgésico y antipirético"
IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,Cápsula,Alivio del dolor y la inflamación,Ibuprofeno,400 mg,"Antiinflamatorio, analgésico y antipirético"
IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100 ,Cápsula de gel,Alivio del dolor y la inflamación,Ibuprofeno,600 mg,"Antiinflamatorio, analgésico y antipirético"
IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100 ,Cápsulas de gel,Alivio del dolor y la inflamación,Ibuprofeno,400 mg por cápsula,"Antiinflamatorio, analgésico y antipirético"
IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,Tableta,Tratamiento de la hipertensión arterial,Irbesartan + Hidroclorotiazida,300 mg de Irbesartan + 25 mg de Hidroclorotiazida,Antihipertensivo
IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,Tableta recubierta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Irbesartan,150 mg,Antagonista de los receptores de angiotensina II
IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,Tableta recubierta,Tratamiento de la hipertensión arterial y la insuficiencia cardíaca,Irbesartan,300mg,"Antihipertensivo, antagonista de los receptores de angiotensina II"
JERINGA 10 ML 21 X 1 1/2 CAJA X 100,Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,10 ml,Facilita la administración precisa de medicamentos en dosis específicas
JERINGA 10 ML 22 X 1 1/2 CAJA X 100,Jeringa,Administración de medicamentos por vía parenteral,No especificado,10 ml,No especificado
JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,Jeringa,Administración de medicamentos por vía parenteral,No especificado,3 ml,No especificado
JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,3 ml,Facilita la administración controlada de medicamentos en el paciente
JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,Jeringa,Administración de medicamentos por vía intramuscular,No especificado,3 ml,Facilita la administración de medicamentos de forma segura y precisa
JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,,3ml,
JERINGA 5 ML 22 X 1 1/2 CAJA X 100,Jeringa,Administración de medicamentos por vía intramuscular o subcutánea,No especificado,5 ml,Facilita la administración precisa de medicamentos en dosis específicas
KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,Crema,"Tratamiento de infecciones fúngicas de la piel como tiña, candidiasis cutánea, pitiriasis versicolor, entre otras",Ketoconazol,Aplicar una capa delgada sobre la zona afectada dos veces al día,Antifúngico de amplio espectro que actúa inhibiendo la síntesis del ergosterol en la membrana celular de los hongos
KETOROLACO 20 MG BLIST X 10 CAJA X 50,Tableta,Analgésico y antiinflamatorio no esteroideo,Ketorolaco,20 mg,Inhibidor de la síntesis de prostaglandinas
KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,Tableta,Tratamiento de la hipertensión arterial y la insuficiencia cardiaca,Clonidina y Propranolol,La dosis usual es de 1 tableta cada 8 horas,Antihipertensivo y antiarrítmico
KLORPROSIN KIT INY X UNIDAD,Kit inyectable,Tratamiento de infecciones bacterianas,Klorprosin,1 unidad por inyección,Antibiótico de amplio espectro
KOLICON 15 ML ,Gotas,Alivio de la congestión nasal y los síntomas del resfriado común,Clorhidrato de fenilefrina,1 a 2 gotas en cada fosa nasal cada 4 horas,Descongestionante nasal
LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS ,Tableta,"Tratamiento de úlceras gástricas y duodenales, reflujo gastroesofágico, síndrome de Zollinger-Ellison, erradicación de Helicobacter pylori, entre otros",Lansoprazol,30mg,Inhibidor de la bomba de protones
LEVOCETIRIZINA 5 MG  CAJA X 10 TAB ,Tableta,Antihistamínico para el alivio de los síntomas de la rinitis alérgica y urticaria,Levocetirizina,5 mg,"Antihistamínico, bloquea la acción de la histamina en el cuerpo"
LEVOGASTRIC CAJA X 30 BLISTER X 5 ,Tabletas,Tratamiento de la gastritis y úlceras gástricas,Levomepromazina,1 tableta cada 8 horas,Antagonista de los receptores de dopamina y serotonina
LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,Tableta,"Antihistamínico utilizado para aliviar los síntomas de la alergia como la picazón, estornudos y ojos llorosos",Loratadina,10mg,Antihistamínico no sedante
LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,Tableta,"Antihistamínico utilizado para aliviar los síntomas de la alergia, como estornudos, picazón en los ojos, nariz que moquea y urticaria.",Loratadina,10mg,"Antihistamínico no sedante que actúa bloqueando la acción de la histamina en el cuerpo, reduciendo así los síntomas alérgicos."
LORATADINA 5 MG JBE SELEC ,Jarabe,Antihistamínico indicado para el alivio de los síntomas de la rinitis alérgica y urticaria,Loratadina,5 mg por cada 5 ml de jarabe,"Inhibe la acción de la histamina en el organismo, reduciendo los síntomas de alergia"
LUBRICANTE VIVE 120 ML NATURAL,Gel,Lubricante íntimo para facilitar la penetración durante las relaciones sexuales,No especificado,Aplicar la cantidad necesaria en la zona genital antes de la relación sexual,Facilita la penetración y reduce la fricción durante las relaciones sexuales
LUBRICANTE VIVE 120 ML S. FRESA,Gel,Lubricante íntimo para facilitar la penetración durante las relaciones sexuales,No especificado,Aplicar la cantidad deseada en la zona genital antes de la actividad sexual,Facilita la lubricación y reduce la fricción durante las relaciones sexuales
MAGNESIO LIVE VIT C CAJA X 18 SOBRES ,Sobres,Suplemento dietético para aportar magnesio y vitamina C al organismo,Magnesio y Vitamina C,1 sobre al día disuelto en agua,Aporte de magnesio y vitamina C para mantener la salud y el bienestar
METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,Tableta,Tratamiento de la diabetes tipo 2,Metformina,1 gramo,Hipoglucemiante
METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,Tableta,Tratamiento de la diabetes tipo 2,Metformina,1 gramo por tableta,Hipoglucemiante
METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,Tableta,Tratamiento de la diabetes tipo 2,Metformina,850 mg,Hipoglucemiante
METFORMINA 850 MG BLIST X 10 TAB INFASA,Tableta,Tratamiento de la diabetes tipo 2,Metformina,850 mg,Hipoglucemiante
METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,Cápsulas,Relajante muscular,Metocarbamol,Tomar 1 cápsula cada 6 horas,Actúa como agente relajante del músculo esquelético
METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,Tableta,Relajante muscular,Metocarbamol,Se recomienda tomar 1 tableta cada 8 horas,Actúa como agente central para el alivio del dolor y la rigidez muscular
NAFASOLINA .025% DE 15 ML,Solución para inhalación,Tratamiento de enfermedades respiratorias como el asma y la bronquitis,Nafazolina,0.025%,Descongestionante nasal
NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,Tableta,Analgésico y antiinflamatorio no esteroideo,NAPROXENO,550 MG,Inhibidor de la síntesis de prostaglandinas
NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,Tableta,Analgésico y antiinflamatorio no esteroideo,Naproxeno,550 mg,Inhibe la síntesis de prostaglandinas
NASOLIN GOTAS 15 ML  MEDIPROD,Gotas,Descongestionante nasal,Oximetazolina,Adultos y niños mayores de 6 años: 1 a 2 gotas en cada fosa nasal cada 6-8 horas. No usar por más de 3 días seguidos.,Vasoconstrictor nasal
NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,Cápsulas,Suplemento vitamínico para el sistema nervioso,Vitaminas del complejo B,Tomar 1 cápsula al día,Ayuda a mejorar la función del sistema nervioso
NISTATINA 30ML GOTAS SELEC,Gotas,Antimicótico tópico para el tratamiento de infecciones por hongos en la piel y mucosas,Nistatina,30ml,Antifúngico
NISTATINA CREMA SELEC,Crema,Tratamiento de infecciones por hongos en la piel,Nistatina,Aplicar una capa delgada sobre la zona afectada 2 a 3 veces al día,Antifúngico
NISTATINA SUSPENSION  30 ML CAPLIN ,Suspensión,Tratamiento de infecciones por hongos en la piel y mucosas,Nistatina,30 ml,Antifúngico
NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC ,Suspensión oral,Tratamiento de infecciones causadas por parásitos intestinales y protozoarios,Nitazoxanida,100mg/5ml,Antiparasitario
NITASEL NITAZOXANIDA 500MG X6TAB SELECT,Tableta,Tratamiento de infecciones causadas por parásitos y bacterias en el tracto gastrointestinal,Nitazoxanida,500mg por tableta,Antiparasitario y antibacteriano
