medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
GARGADIN FRAMBUESA CAJA X 56 PASTI,Pastillas para chupar,Alivio del dolor de garganta y molestias bucales.,Antiséptico local,Disolver 1 pastilla en la boca cada 2-3 horas según necesidad.,Acción antiséptica y calmante en la garganta.
GARGADIN MIEL LIMON CAJA X 56 PASTI,Pastillas para chupar,Alivio del dolor de garganta y molestias bucales.,Antiséptico local,Disolver 1 pastilla en la boca cada 2-3 horas según necesidad.,Acción antiséptica y calmante en la garganta.
GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS,Pastillas para chupar,Alivio del dolor de garganta y molestias bucales.,Antiséptico local,Disolver 1 pastilla en la boca cada 2-3 horas según necesidad.,Acción antiséptica y calmante en la garganta.
GLICITOS C (AMBROXOL+CLEMBUTEROL) 120 ML SELEC,Jarabe,Tratamiento de enfermedades respiratorias con exceso de moco.,Ambroxol y Clembuterol,Adultos: 10 ml cada 12 horas. Niños: 5 ml cada 12 horas.,Mucolítico y broncodilatador para facilitar la respiración.
GLICITOS S (AMBROXOL+SALBUTAMOL) 120ML SELEC,Jarabe,Tratamiento de enfermedades respiratorias con broncoespasmo.,Ambroxol y Salbutamol,Adultos: 10 ml cada 12 horas. Niños: 5 ml cada 12 horas.,Mucolítico y broncodilatador para facilitar la respiración.
GUANTES LATEX GRANDE X 100,Guantes,Protección de manos en procedimientos médicos.,Latex,"Uso único, desechar después de cada uso.",No aplica
GUANTES LATEX MEDIANO X 100,Guantes,Protección de manos en procedimientos médicos.,Latex,"Uso único, desechar después de cada uso.",No aplica
GUANTES LATEX PEQUEÑO X 100,Guantes,Protección de manos en procedimientos médicos.,Latex,"Uso único, desechar después de cada uso.",No aplica
HIERRO SACAROSA 100/MG AMP 5ML IV CAPLIN CJ X 10,Ampolla,Tratamiento de la deficiencia de hierro.,Hierro sacarosa,Administrar por vía intravenosa según prescripción médica.,Suplemento de hierro para corregir la anemia.
HIGO MIEL 120 ML,Jarabe,Alivio de la tos y molestias de garganta.,Extracto de higo y miel,Tomar 5 ml cada 4-6 horas según necesidad.,Emoliente y expectorante.
HISTAPRIN CAJA X20 TAB BLIS X10,Tabletas,Alivio de síntomas alérgicos.,Clorfenamina,Tomar 1 tableta cada 6 horas según necesidad.,Antihistamínico.
JABON PARA BEBE JOHNSON ANTES DE DORMIR 75 GRS,Jabón,Limpieza y relajación de la piel del bebé antes de dormir.,Ingredientes suaves para la piel del bebé,Uso diario durante el baño.,No aplica
JABON PARA BEBE JOHNSON ORIGINAL CREMOSO 75 GRS,Jabón,Limpieza suave de la piel del bebé.,Ingredientes suaves para la piel del bebé,Uso diario durante el baño.,No aplica
KOACT 1 GR AMOX+CLAV CAJA X 15 TAB BLISTER X 5,Tabletas,Tratamiento de infecciones bacterianas.,Amoxicilina y ácido clavulánico,Tomar 1 tableta cada 12 horas durante 7-10 días.,Antibiótico de amplio espectro.
KOACT 62.5 AMOXI 500 ACIDOCLAV X 15 TAB BLISTER X 5,Tabletas,Tratamiento de infecciones bacterianas.,Amoxicilina y ácido clavulánico,Tomar 1 tableta cada 12 horas durante 7-10 días.,Antibiótico de amplio espectro.
KOREOFIN CAPLIN,Cápsula,Tratamiento de condiciones específicas según prescripción médica.,Información no disponible,Según indicación médica.,Información no disponible
LEVOTIROXINA MERCK BLISTER X 25 CAJA X 100,Tableta,Tratamiento del hipotiroidismo.,Levotiroxina sódica,"Una vez al día, preferiblemente en ayunas, 30 minutos antes del desayuno.",Hormona tiroidea sintética.
LOSART50/12.5MG HIDRO CJ X 30 BLIST X 10 TABS CAPLIN,Tableta,Tratamiento de la hipertensión arterial.,Losartán potásico e hidroclorotiazida,"Una vez al día, con o sin alimentos.",Antagonista de los receptores de angiotensina II y diurético.
LOSARTAN 50 MG BLIS X 10 CAJA X 100 CAPLIN,Tableta,Tratamiento de la hipertensión arterial.,Losartán potásico,"Una vez al día, con o sin alimentos.",Antagonista de los receptores de angiotensina II.
LUSIA FX CAJA X 28 TAB,Tableta,Anticonceptivo oral.,Información no disponible,"Una tableta diaria, a la misma hora cada día.",Información no disponible
MASCARILLA QUIRURGICA CELESTE CAJA X 50,Mascarilla,Protección contra partículas y microorganismos.,No aplica,Uso diario según necesidad.,Barrera física.
MASCARILLA QUIRURGICA NEGRA CAJA X 50,Mascarilla,Protección contra partículas y microorganismos.,No aplica,Uso diario según necesidad.,Barrera física.
MASCARILLA QUIRURGICA NIÑO CAJA X 50,Mascarilla,Protección contra partículas y microorganismos para niños.,No aplica,Uso diario según necesidad.,Barrera física.
MAVIFEM CREMA VAGINAL CAJA X 6 (CLINDA+KETO),Crema,Tratamiento de infecciones vaginales.,Clindamicina y ketoconazol,"Aplicar una vez al día, preferiblemente por la noche, durante 6 días.",Antibiótico y antifúngico.
MESI 3 (ANTICONCEPTIVO 3 MESES) PIERSAN,Inyección,Anticonceptivo de larga duración.,Información no disponible,Una inyección cada tres meses.,Información no disponible
METAFE SPRAY 60 ML VESA,Spray,Para el alivio del dolor muscular y articular.,Metil salicilato,Aplicar sobre el área afectada 3 a 4 veces al día.,Analgésico y antiinflamatorio tópico.
METFORMINA 1000 MG C SEVEN CAJA X 100,Tableta,Tratamiento de la diabetes tipo 2.,Metformina,Tomar 1 tableta dos veces al día con las comidas.,Antihiperglucemiante.
MICROPORE BLANCO 1 X 10 YDS,Cinta adhesiva,Fijación de apósitos y vendajes.,No aplica,Usar según sea necesario para fijar apósitos.,No aplica
MICROPORE BLANCO 1/2 PULGADA,Cinta adhesiva,Fijación de apósitos y vendajes.,No aplica,Usar según sea necesario para fijar apósitos.,No aplica
MICROPORE PIEL 1 PULGADA,Cinta adhesiva,Fijación de apósitos y vendajes.,No aplica,Usar según sea necesario para fijar apósitos.,No aplica
MICROPORE PIEL 1/2 PULGADA,Cinta adhesiva,Fijación de apósitos y vendajes.,No aplica,Usar según sea necesario para fijar apósitos.,No aplica
MIGRADOLOSINA PIERSAN BLIST X 10,Tableta,Alivio del dolor de cabeza y migrañas.,No especificado,Tomar 1 tableta cada 8 horas según necesidad.,Analgésico
PARACETAMOL 500 MGS BLIST X 10 CAJA X 100,Tableta,Alivio del dolor y reducción de la fiebre.,Paracetamol,"Tomar 1-2 tabletas cada 4-6 horas según necesidad, no exceder 8 tabletas en 24 horas.",Analgésico y antipirético.
PEDIAFLORA GRANU DISP X 50 SOBRES PAHIL,Granulado,Suplemento probiótico para mejorar la salud intestinal.,Probióticos,Tomar 1 sobre al día disuelto en agua o jugo.,Probiótico
PREBALIX CAJA X 30 BLIST X 10 (PREGABALINA 75 MGS),Cápsula,Tratamiento del dolor neuropático y fibromialgia.,Pregabalina,Tomar 1 cápsula dos veces al día.,Anticonvulsivo y analgésico.
RELAFLEX KIT AMPOLLA VIJOSA,Ampolla,Tratamiento del dolor muscular y articular.,Metocarbamol,Administrar por vía intramuscular o intravenosa según indicación médica.,Relajante muscular de acción central.
ROYALINE 5MG CAJA X 30 TAB BLIST X 10,Tabletas,Tratamiento de la hipertensión arterial.,Amlodipino,Tomar una tableta de 5 mg una vez al día.,"Antihipertensivo, bloqueador de los canales de calcio."
SALBUTAMOL INHALADOR CAPLIN,Inhalador,Alivio del broncoespasmo en pacientes con asma.,Salbutamol,Inhalar 1-2 puffs cada 4-6 horas según necesidad.,Broncodilatador de acción rápida.
SANTEMICINA 7.5 GRS SOBRE CAJA X 50,Sobre,Tratamiento de infecciones bacterianas.,Sulfametoxazol/Trimetoprima,Administrar según indicación médica.,Antibiótico bactericida.
SARPIOL FCO 30 ML,Solución oral,Tratamiento de infecciones respiratorias.,Ambroxol,Tomar 5 ml 2-3 veces al día.,Mucolítico.
SELLO DE HEPARINA ESTERIL OPERSON,Solución inyectable,Prevención de la coagulación en dispositivos médicos.,Heparina,Usar según indicación médica.,Anticoagulante.
SENOSIAIN ADULTO SUPOSITORIO CAJA X 20,Supositorio,Tratamiento del estreñimiento.,Glicerina,Usar un supositorio al día según necesidad.,Laxante.
SENOSIAIN NIÑO SUPOSITORIO CAJA X 20,Supositorio,Tratamiento del estreñimiento en niños.,Glicerina,Usar un supositorio al día según necesidad.,Laxante.
SOLUCION SALINA 100 ML BOLSA,Solución,Rehidratación y dilución de medicamentos.,Cloruro de sodio,Administrar por vía intravenosa según indicación médica.,Solución isotónica.
SPASMO-UROLONG BLIST X 10TAB,Tabletas,Tratamiento de espasmos del tracto urinario.,Flavoxato,Tomar una tableta 3-4 veces al día.,Antiespasmódico urinario.
SUERO ORAL ANCALMO COCO X 54,Solución oral,Rehidratación oral en casos de deshidratación leve a moderada.,Electrolitos y glucosa,"Administrar 1 litro al día en pequeños sorbos, según necesidad y tolerancia.",Rehidratante oral que repone líquidos y electrolitos perdidos.
SUERO ORAL ANCALMO NARANJA X 54,Solución oral,Rehidratación oral en casos de deshidratación leve a moderada.,Electrolitos y glucosa,"Administrar 1 litro al día en pequeños sorbos, según necesidad y tolerancia.",Rehidratante oral que repone líquidos y electrolitos perdidos.
SUERO ORAL VIT ANCALMO X 54,Solución oral,Rehidratación oral con vitaminas en casos de deshidratación leve a moderada.,"Electrolitos, glucosa y vitaminas","Administrar 1 litro al día en pequeños sorbos, según necesidad y tolerancia.","Rehidratante oral que repone líquidos, electrolitos y vitaminas perdidos."
TERMOMETRO DIGITAL MICROLIFE,Dispositivo médico,Medición de la temperatura corporal.,No aplica,Usar según las instrucciones del fabricante para medir la temperatura.,Dispositivo para la medición precisa de la temperatura corporal.
VIROGRIP 3 DOBLE TERAPIA INYECTADO,Solución inyectable,Alivio de síntomas del resfriado y la gripe.,Paracetamol y clorfenamina,"Administrar según indicación médica, generalmente 1 inyección cada 8 horas.",Antipirético y antihistamínico para el alivio de síntomas del resfriado.
